Supplementary Data 1. Gene expression in each cluster within cells expressing CD8A,,,,,,
gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster
CYFIP2,5.87008805811494e-15,0.375833815,0.442,0.46,9.86233494643891e-11,5
KANSL1,7.91755221116033e-15,0.552843101,0.268,0.214,1.33022794699705e-10,5
KMT2A,8.52601178836092e-15,0.473384775,0.385,0.363,1.43245524056252e-10,5
EHD1,8.56612937159507e-15,0.394624759,0.263,0.243,1.43919539572169e-10,5
MBP,9.32246709698341e-15,0.399021681,0.523,0.508,1.56626769696418e-10,5
HNRNPH1,1.01119897525847e-14,0.396894687,0.258,0.243,1.69891539833176e-10,5
BDP1,1.0510909129863e-14,0.456573934,0.267,0.242,1.76593784290828e-10,5
MAPK1,1.35506832085803e-14,0.315102667,0.255,0.266,2.27665028587358e-10,5
NKTR,1.75616882786019e-14,0.547857905,0.333,0.276,2.9505392476879e-10,5
SPSB3,1.85028474659983e-14,0.277240516,0.395,0.428,3.10866340276238e-10,5
TCF251,2.10938121611685e-14,0.434434257,0.583,0.575,3.54397138119791e-10,5
RBM25,2.14810320341562e-14,0.31356208,0.368,0.389,3.60902819205859e-10,5
PPP2R5C,2.15404650433649e-14,0.280791561,0.54,0.592,3.61901353193574e-10,5
ITGB11,3.01444444852847e-14,0.379424732,0.642,0.627,5.06456811797268e-10,5
KLF3,3.04389007034793e-14,0.255409089,0.412,0.458,5.11403970719156e-10,5
BCLAF1,3.21154615040706e-14,0.259951947,0.328,0.354,5.3957186872989e-10,5
ZNF292,4.27746075049503e-14,0.438693176,0.273,0.232,7.18656180690669e-10,5
SMCHD1,4.4380907744619e-14,0.418238707,0.442,0.426,7.45643631017344e-10,5
TAOK3,4.76579323966879e-14,0.420181727,0.308,0.281,8.00700922196754e-10,5
CLEC2D,4.94007743977917e-14,0.283321461,0.368,0.406,8.29982410657298e-10,5
OGT,5.16994735689027e-14,0.505510987,0.263,0.213,8.68602855431135e-10,5
CASP8,5.44402466943669e-14,0.374230475,0.34,0.337,9.14650584712058e-10,5
SIPA1,7.2230354212142e-14,0.357920784,0.257,0.256,1.2135421811182e-09,5
GNPTAB1,8.21844618324914e-14,0.45114562,0.26,0.247,1.38078114324769e-09,5
TRABD,1.09815334825677e-13,0.301868435,0.295,0.311,1.8450074404062e-09,5
IGF2R,1.27117885799704e-13,0.417690706,0.32,0.289,2.13570759932083e-09,5
BOD1L1,1.41082902608806e-13,0.368002164,0.273,0.272,2.37033384673055e-09,5
FNBP4,1.63955192751638e-13,0.265492137,0.303,0.324,2.75461119342027e-09,5
KTN1,1.76114780543974e-13,0.352954922,0.342,0.34,2.95890442791931e-09,5
GRK2,2.01345839433288e-13,0.413438859,0.345,0.342,3.38281144831868e-09,5
RASGRP2,2.81728961772146e-13,0.260445486,0.285,0.324,4.73332828673382e-09,5
STAT3,3.76460208996743e-13,0.314044985,0.333,0.333,6.32490797135428e-09,5
RPL37A,5.52180279662033e-13,0.292127367,0.938,0.948,9.27718087860181e-09,5
ITSN2,5.57604798817633e-13,0.331977545,0.24,0.252,9.36831822493505e-09,5
ADAR,5.83818184287719e-13,0.318578173,0.302,0.313,9.80872931421797e-09,5
ANKRD44,6.18682123765802e-13,0.336153041,0.325,0.328,1.03944783613892e-08,5
ETS1,6.71958251426686e-13,0.324432838,0.605,0.618,1.12895705822198e-08,5
YY1,9.68558223830596e-13,0.32973383,0.265,0.271,1.62727467185779e-08,5
DGKZ,9.84545959414908e-13,0.256373795,0.37,0.402,1.65413566641299e-08,5
RBL2,2.0450759871723e-12,0.307262385,0.438,0.448,3.43593216604819e-08,5
MPHOSPH8,2.10564643243456e-12,0.384157755,0.417,0.4,3.53769657113331e-08,5
EIF3A,2.11159976480191e-12,0.29343402,0.305,0.329,3.54769876484368e-08,5
DDX24,2.16178965298175e-12,0.319001926,0.477,0.505,3.63202279597463e-08,5
MTDH,2.2650673776611e-12,0.311022938,0.35,0.366,3.80553970120841e-08,5
TAPBP,2.37814318713993e-12,0.30684961,0.503,0.534,3.9955183687138e-08,5
DDX21,2.38247519845734e-12,0.37024607,0.263,0.265,4.00279658092817e-08,5
ARAP2,2.42673285432343e-12,0.422316124,0.29,0.259,4.0771538685488e-08,5
MYBL11,2.6122231510956e-12,0.345221945,0.445,0.454,4.38879611615571e-08,5
AKAP9,2.90530203895401e-12,0.475012498,0.333,0.304,4.88119795564663e-08,5
SIGIRR,2.99087104994716e-12,0.268008315,0.398,0.442,5.02496245101622e-08,5
ANKHD1,3.01585586027152e-12,0.426883982,0.25,0.216,5.06693943084218e-08,5
MBNL1,3.76328340791748e-12,0.349885201,0.615,0.613,6.32269245364217e-08,5
ANKRD12,6.62609509211164e-12,0.397605388,0.442,0.439,1.11325023642568e-07,5
NUP210,8.38467777866175e-12,0.442013191,0.258,0.199,1.40870971359296e-07,5
USP34,8.46960515651708e-12,0.372505986,0.31,0.309,1.42297836234643e-07,5
DDX46,8.7128925303995e-12,0.281607125,0.323,0.346,1.46385307403242e-07,5
MYO1G1,1.00550259138898e-11,0.396262399,0.472,0.459,1.68934490379262e-07,5
ACAP1,1.06017718708625e-11,0.311725585,0.373,0.394,1.78120369202362e-07,5
LUC7L3,1.1969686439482e-11,0.411133584,0.302,0.294,2.01102701869737e-07,5
FBXW5,1.41503743826411e-11,0.2906302,0.36,0.377,2.37740440002753e-07,5
KCNAB2,2.14263995874301e-11,0.369832617,0.277,0.269,3.59984939468414e-07,5
PNN,4.18596878546556e-11,0.365242806,0.293,0.283,7.03284615646069e-07,5
PKN1,4.56175323999414e-11,0.278881575,0.325,0.345,7.66420161851415e-07,5
DDX6,5.3116431974199e-11,0.253097212,0.377,0.405,8.92409173598517e-07,5
WASF2,5.61245940565985e-11,0.323990907,0.38,0.37,9.42949304744912e-07,5
RSBN1L,5.91433798365031e-11,0.373511138,0.253,0.251,9.93667924633089e-07,5
BPTF,6.10912706599597e-11,0.413961861,0.383,0.366,1.02639443835798e-06,5
CFLAR,6.4429303010498e-11,0.348275324,0.352,0.351,1.08247671987938e-06,5
TMEM259,8.18232435514704e-11,0.315343318,0.262,0.268,1.37471231490825e-06,5
PTPRA,8.2402260652656e-11,0.282530498,0.275,0.272,1.38444038122527e-06,5
RESF1,1.08700712478977e-10,0.35720948,0.52,0.514,1.82628067035929e-06,5
SCAF11,1.39859411152302e-10,0.321868431,0.337,0.33,2.34977796676982e-06,5
VPS13C,1.40593320644344e-10,0.371358038,0.303,0.282,2.36210838014562e-06,5
KPNB1,1.41020422352713e-10,0.264108295,0.292,0.317,2.36928411594793e-06,5
PHF3,1.51451295209416e-10,0.301389528,0.31,0.313,2.5445332108134e-06,5
ITK,1.58064429673206e-10,0.278121878,0.302,0.31,2.65564048293953e-06,5
EPB41,1.72657115240194e-10,0.340441334,0.392,0.366,2.9008121931505e-06,5
MED15,2.07255905922796e-10,0.348065653,0.3,0.295,3.4821064754089e-06,5
ERAP2,2.39922648456147e-10,0.278522721,0.252,0.266,4.03094041671172e-06,5
NSD3,2.55513337283828e-10,0.272348348,0.332,0.337,4.2928795797056e-06,5
SYNRG,2.70074738644353e-10,0.290468152,0.257,0.256,4.53752568396378e-06,5
SPTAN1,2.82394791036574e-10,0.402579024,0.308,0.276,4.74451488420548e-06,5
STK38,3.06080314493913e-10,0.299755795,0.335,0.339,5.14245536381223e-06,5
BCL11B,3.7717973405873e-10,0.420515954,0.323,0.29,6.33699671192072e-06,5
PNISR,4.58888125301629e-10,0.327571252,0.448,0.456,7.70977939319267e-06,5
CEP350,4.64369443411641e-10,0.448447515,0.263,0.212,7.80187101875897e-06,5
TPR,4.6937983176179e-10,0.254845782,0.295,0.323,7.88605055342983e-06,5
ARHGEF1,5.29701712396982e-10,0.338113285,0.49,0.499,8.89951846998169e-06,5
RALBP1,6.37769543292516e-10,0.258806476,0.25,0.252,1.07151660968576e-05,5
ILF3,8.87397410845229e-10,0.295901055,0.287,0.282,1.49091638996107e-05,5
NCOR1,1.32515748630252e-09,0.264378153,0.323,0.333,2.22639709273687e-05,5
DNM2,2.13258647119658e-09,0.365715957,0.257,0.239,3.58295853025738e-05,5
PPP1R12A,2.64940285764642e-09,0.257370978,0.33,0.338,4.45126174113174e-05,5
U2SURP,2.79352790653423e-09,0.257069207,0.27,0.293,4.69340623576816e-05,5
ADGRE5,4.05369952134247e-09,0.261455819,0.38,0.406,6.81062056580748e-05,5
LRRFIP1,5.74826855770418e-09,0.304542607,0.498,0.526,9.65766600379879e-05,5
PRKCH,7.00439079394488e-09,0.258554422,0.4,0.419,0.000117681,5
DDX18,7.31301474624041e-09,0.25978961,0.263,0.28,0.000122866,5
RSF1,9.55468606233259e-09,0.278406579,0.258,0.273,0.000160528,5
CD46,1.34612732502926e-08,0.256272661,0.265,0.273,0.000226163,5
IQGAP1,1.79850840265599e-08,0.269542912,0.435,0.459,0.000302167,5
RABGAP1L,2.71321398614132e-08,0.251519069,0.253,0.258,0.000455847,5
GCC2,5.72955044736291e-08,0.296535133,0.28,0.282,0.000962622,5
PCM1,5.74444998525053e-08,0.354229437,0.3,0.284,0.000965125,5
ADGRG13,9.50884500723587e-08,0.377337694,0.585,0.532,0.001597581,5
CYTOR,3.10287721733128e-07,0.280352874,0.287,0.287,0.005213144,5
RASA3,4.47165569040895e-07,0.312794148,0.317,0.281,0.007512829,5
SSBP3,6.56020455327645e-07,0.255852252,0.28,0.272,0.0110218,5
SH3KBP1,1.19608385804837e-06,0.288499933,0.395,0.388,0.020095405,5
PYHIN1,1.53296668352366e-06,0.264739399,0.37,0.376,0.025755373,5
GZMK,0,2.919066879,0.874,0.107,0,6
LTB,1.20135528373397e-143,1.566803201,0.647,0.135,2.01839701220145e-139,6
CD27,1.25385467731775e-138,1.34558859,0.452,0.053,2.10660124336155e-134,6
DUSP21,2.42836190516544e-137,1.553304388,0.831,0.439,4.07989083686846e-133,6
TCF7,1.06819682454512e-132,1.39632767,0.551,0.101,1.79467748491825e-128,6
IL7R1,2.66693865654466e-103,1.291790691,0.829,0.363,4.48072363686069e-99,6
CD74,6.13955250773463e-95,1.203510501,0.915,0.756,1.0315062168245e-90,6
ZFP36L21,8.29810996708763e-93,0.900604145,0.923,0.749,1.39416545557039e-88,6
FOS1,4.7891787819257e-85,1.254373248,0.899,0.641,8.04629927151336e-81,6
JUNB1,1.11755471023046e-78,1.109357295,0.918,0.754,1.8776036686582e-74,6
COTL11,1.44939433528019e-74,0.994991148,0.678,0.319,2.43512742270425e-70,6
CD69,7.1343331142311e-69,1.020928057,0.737,0.417,1.19863930652197e-64,6
CXCR4,6.75230769123513e-59,0.863474256,0.822,0.525,1.13445521520441e-54,6
ZFP361,7.91022431488791e-58,0.864274922,0.869,0.644,1.32899678714432e-53,6
DUSP1,1.68909360746051e-55,0.811022176,0.926,0.743,2.8378461698944e-51,6
BTG21,2.84010227710117e-55,0.881598485,0.6,0.313,4.77165583575767e-51,6
BTG1,3.82638335536461e-55,0.605954806,0.963,0.863,6.42870667534809e-51,6
JUN1,1.5486927141463e-54,1.033461935,0.856,0.666,2.6019586290372e-50,6
JUND1,7.71484457238539e-52,0.72384162,0.801,0.663,1.29617103660647e-47,6
CAMK41,5.94296970196361e-50,0.660531995,0.436,0.156,9.98478339626906e-46,6
SARAF,2.57428510943562e-47,0.590372896,0.891,0.694,4.32505641236278e-43,6
MCUB,3.49154587223112e-46,0.662141659,0.464,0.188,5.86614621993551e-42,6
CD71,5.80552279453773e-44,0.841173075,0.702,0.404,9.75385884710284e-40,6
MT-ND21,1.57633904713866e-43,0.581542578,0.963,0.859,2.64840723309766e-39,6
INPP4B,1.19402177133923e-42,0.625873179,0.253,0.058,2.00607597802704e-38,6
LEPROTL1,1.33832940426975e-41,0.615162923,0.516,0.246,2.24852723211361e-37,6
TENT5C,4.64988941518487e-41,0.640847956,0.399,0.158,7.8122792064521e-37,6
DNAJB1,5.03252563285102e-40,0.687504326,0.734,0.492,8.45514631575299e-36,6
HINT1,9.44632354980516e-40,0.586048873,0.896,0.699,1.58707681960276e-35,6
EEF1A1,4.44213748298044e-39,0.322287657,1,0.999,7.46323518515543e-35,6
CLDND11,8.48886008939537e-38,0.749925159,0.422,0.197,1.42621338361932e-33,6
PABPC1,1.55603240383876e-35,0.519535589,0.908,0.769,2.6142900416895e-31,6
PBXIP11,5.59499325561879e-35,0.563138297,0.497,0.253,9.40014816876513e-31,6
CNN21,9.65390923891331e-35,0.536067181,0.754,0.511,1.62195329122983e-30,6
PLP2,4.31760639263818e-34,0.656757479,0.369,0.143,7.25401050027141e-30,6
CSRNP1,2.7045324221158e-32,0.536006739,0.286,0.105,4.54388492239675e-28,6
ARHGAP15,6.79389111112312e-32,0.593676337,0.481,0.247,1.1414416455798e-27,6
NR4A21,1.16376327166602e-31,0.544641667,0.504,0.3,1.95523867272608e-27,6
PIK3R11,3.49189563990271e-31,0.556630648,0.578,0.336,5.86673386460055e-27,6
OCIAD2,4.60828427129083e-30,0.321614155,0.372,0.198,7.74237840419573e-26,6
LDLRAP1,4.6312899474452e-30,0.452402058,0.261,0.096,7.78103024070267e-26,6
EML4,8.39916355622589e-30,0.510047044,0.583,0.352,1.41114346908151e-25,6
NCK2,1.07967939689311e-29,0.53949332,0.33,0.141,1.81396935472012e-25,6
NFKBIZ,1.37058328918744e-29,0.585412778,0.29,0.103,2.30271698416382e-25,6
YBX3,5.72257214695452e-28,0.565636759,0.271,0.094,9.61449346409829e-24,6
LDHB,6.44767741008624e-28,0.509771482,0.734,0.514,1.08327428166859e-23,6
FCMR,7.87259590077755e-28,0.467471669,0.487,0.278,1.32267483728964e-23,6
PDCD4,8.3752753802771e-28,0.525790353,0.432,0.227,1.40713001664036e-23,6
TSPYL2,1.55415913374347e-27,0.532371848,0.343,0.164,2.6111427606024e-23,6
ISG201,2.93928114223558e-27,0.409044653,0.533,0.32,4.93828624707e-23,6
FOSB1,3.21471596404567e-27,0.6458096,0.472,0.279,5.40104429119314e-23,6
GRAMD1A,1.1513328257209e-26,0.468981876,0.281,0.108,1.93435428049369e-22,6
ITGB2-AS1,2.12682627791598e-26,0.25612566,0.357,0.203,3.57328082952664e-22,6
TMEM238,4.09971175414221e-26,0.426651557,0.312,0.135,6.88792571813433e-22,6
TMEM123,3.01286919716301e-25,0.463789368,0.422,0.222,5.06192153815357e-21,6
PPP1R2,5.75410792775666e-24,0.382969915,0.476,0.291,9.66747672942396e-20,6
RCSD1,6.29629107949564e-24,0.251975525,0.479,0.317,1.05783986426606e-19,6
TC2N,2.93136812143122e-23,0.412416348,0.412,0.223,4.92499158081659e-19,6
PIK3IP1,8.49657364619625e-23,0.365134152,0.382,0.21,1.42750933829743e-18,6
RPS12,1.3640461953424e-22,0.299985602,0.998,0.999,2.29173401279476e-18,6
VIM1,1.84593018461404e-22,0.480586807,0.891,0.76,3.10134730317005e-18,6
CMC11,2.36121143942024e-22,0.755321716,0.409,0.214,3.96707133936995e-18,6
LYAR1,2.86276675134667e-22,0.525733676,0.549,0.354,4.80973441893755e-18,6
PHF1,3.03486557992878e-21,0.314781959,0.338,0.193,5.09887766083834e-17,6
ABLIM1,6.16767105227073e-21,0.43984154,0.278,0.119,1.03623041349201e-16,6
R3HDM4,7.93352197690633e-21,0.320432467,0.37,0.218,1.33291102734003e-16,6
ACAP11,9.71624567777389e-21,0.267449008,0.553,0.382,1.63242643632279e-16,6
TNFAIP31,1.29221475371021e-20,0.459892373,0.754,0.579,2.17105000770852e-16,6
CKLF,2.259231382554e-20,0.39603536,0.452,0.274,3.79573464582898e-16,6
CD55,3.18742960748007e-20,0.431814337,0.273,0.122,5.35520048352726e-16,6
SLC2A31,4.25676606247843e-20,0.459850455,0.4,0.24,7.15179266157e-16,6
SMDT1,6.69104065459915e-20,0.30505976,0.521,0.342,1.1241617403792e-15,6
RPL8,6.82319439524555e-20,0.336574554,0.992,0.985,1.1463648903452e-15,6
NIN,7.06418050858367e-20,0.419916068,0.283,0.135,1.18685296724714e-15,6
CYLD,1.137976276016e-19,0.271217702,0.328,0.192,1.91191394133449e-15,6
SF1,1.32077972614957e-19,0.290258862,0.745,0.573,2.21904201790389e-15,6
TAGAP1,1.71924217008037e-19,0.251537089,0.559,0.405,2.88849876995204e-15,6
CD44,2.28548633822965e-19,0.346115567,0.642,0.461,3.83984559685963e-15,6
TUBA4A,2.87798051009827e-19,0.287590603,0.395,0.254,4.8352950550161e-15,6
SMAP2,4.73585639873004e-19,0.350432814,0.447,0.286,7.95671233550634e-15,6
SBDS,5.37444533800403e-19,0.357388046,0.472,0.311,9.02960561238057e-15,6
KCNA3,6.87089669950854e-19,0.364639636,0.31,0.168,1.15437935448443e-14,6
LINC01578,9.06216708858664e-19,0.307300855,0.737,0.575,1.52253469255344e-14,6
GAS5,3.4576097466594e-18,0.402029752,0.63,0.427,5.80913013536245e-14,6
GRK6,3.89576631462527e-18,0.279049948,0.405,0.259,6.54527698520191e-14,6
FAM107B,5.74007557972812e-18,0.288761489,0.593,0.431,9.64390098150122e-14,6
FLT3LG,6.91392107166923e-18,0.428644941,0.43,0.248,1.16160787925115e-13,6
NAP1L4,8.32534043338566e-18,0.262781465,0.432,0.289,1.39874044621313e-13,6
PEBP1,1.02189787503084e-17,0.265382479,0.551,0.394,1.71689061983932e-13,6
NUCB2,1.42626248548762e-17,0.327301273,0.395,0.244,2.39626360186775e-13,6
NSMCE3,2.54789620355704e-17,0.275378406,0.335,0.206,4.28072041159618e-13,6
PCGF5,3.37625122550268e-17,0.259824521,0.273,0.159,5.67243968396706e-13,6
FTH1,4.57101474094228e-17,0.326826955,0.982,0.951,7.67976186625713e-13,6
SNHG8,4.85899636446977e-17,0.441533011,0.489,0.306,8.16359979194566e-13,6
RPS6KA3,5.18177880754433e-17,0.26558958,0.251,0.138,8.70590657455523e-13,6
RHOH,6.49021077735847e-17,0.259595076,0.358,0.232,1.090420312704e-12,6
EMB,1.06592021413111e-16,0.26485266,0.451,0.309,1.79085255176168e-12,6
NPDC1,1.14460977496795e-16,0.347095966,0.256,0.127,1.92305888292366e-12,6
GIMAP5,2.69336977849385e-16,0.292121963,0.362,0.231,4.52513056484752e-12,6
LIMD2,2.79956128187257e-16,0.307391841,0.809,0.671,4.70354290967411e-12,6
TRADD,3.20339500218482e-16,0.345379665,0.296,0.163,5.38202394317071e-12,6
GATA3,3.8404772797271e-16,0.333851567,0.315,0.177,6.4523858776695e-12,6
NOSIP,4.06107545641441e-16,0.482854867,0.402,0.241,6.82301287432185e-12,6
H3F3B,4.76970031367052e-16,0.285525412,0.968,0.931,8.01357349699784e-12,6
NFKBIA1,5.82157149088297e-16,0.51501411,0.729,0.579,9.78082226183248e-12,6
PPP1R15A1,6.29518101791155e-16,0.348361876,0.668,0.51,1.05765336281932e-11,6
SLC38A1,9.25153216190819e-16,0.29981534,0.405,0.267,1.55434991852219e-11,6
ETS11,1.18689331791372e-15,0.30956088,0.762,0.608,1.99409946342684e-11,6
HSP90AB1,1.43905088357679e-15,0.286591741,0.836,0.701,2.41774938949737e-11,6
GYPC,1.55324521019276e-15,0.272812091,0.615,0.455,2.60960727764485e-11,6
CDKN1B,1.90530137913191e-15,0.26330081,0.414,0.283,3.20109684707953e-11,6
RPL13,3.01064578357294e-15,0.265276767,0.997,0.999,5.05818598098089e-11,6
FXYD5,3.0853124345394e-15,0.335339306,0.896,0.769,5.18363342126965e-11,6
SNHG16,3.66110346123055e-15,0.271661379,0.343,0.214,6.15101992521345e-11,6
ANTKMT,5.52855066225769e-15,0.313812684,0.251,0.137,9.28851796765915e-11,6
MT-ND11,6.08292593602322e-15,0.356160615,0.961,0.887,1.02199238651126e-10,6
RPS5,1.41128057875838e-14,0.31744024,0.993,0.968,2.37109250037195e-10,6
CORO7,1.52163906072877e-14,0.272794338,0.27,0.157,2.55650578593041e-10,6
PARP8,1.68735757575893e-14,0.337723721,0.477,0.33,2.83492946303258e-10,6
SH2D1A,1.71765224986753e-14,0.290561346,0.35,0.218,2.88582754500244e-10,6
TMEM14B,2.02450635632366e-14,0.295948927,0.338,0.206,3.40137312925938e-10,6
RPLP1,2.07077110829399e-14,0.30043657,0.995,0.998,3.47910253904474e-10,6
UBE2S,2.18518287377354e-14,0.331117411,0.377,0.249,3.67132574622692e-10,6
STK17B,2.7583278253484e-14,0.255900016,0.556,0.411,4.63426657936785e-10,6
MYADM,3.59676010518073e-14,0.268479344,0.355,0.236,6.04291665271415e-10,6
RGS10,4.86665351253699e-14,0.32245292,0.425,0.279,8.1764645664134e-10,6
TSC22D3,5.78188795977e-14,0.292291734,0.931,0.853,9.71414996120958e-10,6
SMCHD11,6.36268384364589e-14,0.261975558,0.553,0.418,1.06899451257095e-09,6
CBLB,2.7657080813681e-13,0.369553444,0.35,0.219,4.64666614750654e-09,6
RPS13,5.24110652465117e-13,0.282936846,0.993,0.985,8.80558307206644e-09,6
ITGA41,3.5395965499477e-12,0.309801052,0.618,0.49,5.94687616356713e-08,6
PRKCQ-AS1,7.32139850782779e-12,0.268075503,0.298,0.187,1.23006816330015e-07,6
MIF,1.45318284962602e-11,0.302078351,0.846,0.728,2.44149250565667e-07,6
RPS28,1.26811060468616e-10,0.269633787,0.997,0.997,2.13055262693322e-06,6
PCED1B-AS1,1.26892773903857e-10,0.25189217,0.853,0.742,2.13192549435869e-06,6
RPLP0,2.94265598785615e-10,0.272326928,0.993,0.977,4.94395632519711e-06,6
RPLP2,4.02532518035958e-09,0.256410261,0.993,0.989,6.76294883552213e-05,6
IER21,6.33688917054236e-09,0.309371995,0.683,0.601,0.000106466,6
S100A10,1.65646416102137e-08,0.251300601,0.849,0.757,0.000278303,6
JUNB2,1.31517369393151e-211,1.523793904,0.991,0.75,2.20962332317433e-207,7
FOS2,2.29318924849597e-193,1.534508598,0.986,0.636,3.85278725639807e-189,7
JUN2,1.55003299126705e-150,1.440920391,0.962,0.66,2.60421042862777e-146,7
DUSP11,6.77610400604587e-116,0.974640545,0.982,0.741,1.13845323405577e-111,7
NFKBIA2,2.02611203763373e-107,1.176795015,0.902,0.569,3.40407083442843e-103,7
IER22,5.52609149645634e-91,1.075481828,0.879,0.59,9.28438632319629e-87,7
NR4A22,3.69163695676644e-84,1.183681921,0.696,0.29,6.2023192510633e-80,7
CXCR41,1.71834758634287e-70,0.937508506,0.823,0.526,2.88699577981466e-66,7
ZFP362,2.27919829662487e-69,0.943807084,0.864,0.645,3.82928105815944e-65,7
FOSB2,6.97396633052118e-69,0.984887553,0.649,0.269,1.17169608319086e-64,7
BTG22,2.96460121899226e-65,1.032841538,0.66,0.311,4.98082650802889e-61,7
PPP1R15A2,5.00153257618364e-54,0.793492107,0.792,0.503,8.40307488124613e-50,7
TNFAIP32,3.72474328289088e-51,0.827320547,0.825,0.576,6.25794118958497e-47,7
UBE2S1,3.37313509376805e-50,0.890244336,0.541,0.24,5.6672042710397e-46,7
DDIT41,7.38406836692546e-49,0.975606525,0.519,0.233,1.24059732632715e-44,7
GADD45B1,3.91865334632469e-47,0.96136485,0.694,0.428,6.58372948716011e-43,7
SERTAD11,4.886671812323e-47,0.866916505,0.47,0.178,8.21009731188388e-43,7
CD691,1.43202384038261e-46,0.8023943,0.705,0.421,2.40594325422683e-42,7
SRSF71,1.82581918409666e-37,0.645411869,0.807,0.591,3.0675588112008e-33,7
TSC22D31,5.88798586371861e-34,0.519248103,0.958,0.852,9.89240504963364e-30,7
TUBB4B,2.52627666365508e-33,0.745856803,0.474,0.226,4.2443974226069e-29,7
BRD21,2.27521769324748e-29,0.69278697,0.62,0.4,3.82259324642509e-25,7
AC007952.4,1.61775930112789e-28,0.682613913,0.345,0.144,2.71799740182497e-24,7
EIF1,1.45641320955883e-27,0.314938516,0.991,0.978,2.4469198333798e-23,7
UBC,2.8837373174575e-27,0.397797862,0.987,0.939,4.84496706706035e-23,7
H3F3B1,4.40668215831936e-27,0.413050695,0.984,0.93,7.40366669419235e-23,7
DUSP22,7.6211167322773e-27,0.539365124,0.682,0.45,1.28042382218991e-22,7
AC020916.11,2.34197277467923e-25,0.706142317,0.387,0.18,3.93474845873858e-21,7
DNAJB11,3.48447888409171e-25,0.581395278,0.703,0.495,5.85427297316249e-21,7
TUBA1B1,4.24854249003688e-25,0.598640419,0.678,0.442,7.13797623751097e-21,7
H2AFX,1.13050877258032e-24,0.600593911,0.322,0.131,1.89936778881219e-20,7
CHMP1B,1.48749399343572e-24,0.596384552,0.302,0.115,2.49913865837136e-20,7
DNAJA11,6.6892836905329e-23,0.611116699,0.497,0.285,1.12386655284643e-18,7
TUBA1A,2.16829673450967e-22,0.587129582,0.624,0.409,3.64295534364969e-18,7
SLC2A32,1.15408825304495e-21,0.593384733,0.443,0.238,1.93898367394082e-17,7
KLF21,1.57985732258522e-21,0.479028691,0.919,0.807,2.65431828767542e-17,7
SRSF21,1.18927253337323e-19,0.518849838,0.685,0.492,1.99809678332036e-15,7
BTG11,5.11163278566214e-19,0.38929502,0.951,0.864,8.58805424319096e-15,7
YPEL5,8.33642057693809e-19,0.54345688,0.418,0.236,1.40060202113137e-14,7
HIST1H4C,8.7851402702311e-19,0.509845415,0.6,0.413,1.47599141680153e-14,7
CSRNP11,1.0261435844839e-17,0.455948192,0.253,0.108,1.7240238362914e-13,7
TSPYL21,2.12467571355554e-17,0.560298602,0.327,0.165,3.56966766634466e-13,7
CITED21,5.64704484913635e-16,0.542618432,0.539,0.363,9.48760005103398e-12,7
IER5,1.10577060858892e-15,0.483702467,0.273,0.125,1.85780519949025e-11,7
ZFP36L22,2.09779331430121e-15,0.372436019,0.861,0.754,3.52450254735746e-11,7
FTH11,2.5880743321387e-15,0.302035709,0.982,0.951,4.34822368542623e-11,7
SLC38A21,3.27455242629061e-15,0.525448472,0.385,0.214,5.50157553141085e-11,7
JUND2,7.40923206742717e-15,0.448226477,0.801,0.664,1.24482507964844e-10,7
IFRD1,9.40028595354989e-15,0.435966859,0.28,0.134,1.57934204305592e-10,7
EIF4A1,2.22279177519769e-14,0.394547931,0.727,0.554,3.73451246150964e-10,7
SBDS1,2.45083978831532e-14,0.454660293,0.481,0.312,4.11765592834857e-10,7
MYADM1,3.72492267857116e-14,0.459088843,0.401,0.233,6.25824259226741e-10,7
KLF6,6.07104620746504e-14,0.312512854,0.931,0.829,1.0199964733162e-09,7
SAT11,1.97349219699502e-13,0.539893215,0.555,0.4,3.31566424017134e-09,7
PNRC1,3.7907533303251e-13,0.29665213,0.96,0.912,6.36884467027921e-09,7
ID2,5.04816723678147e-13,0.490496646,0.465,0.307,8.48142577451655e-09,7
CCNL1,1.2743185567949e-12,0.379827276,0.608,0.439,2.14098260727111e-08,7
UBB1,5.20460216975079e-12,0.332808404,0.864,0.762,8.74425210539831e-08,7
FUS1,9.16337448559222e-12,0.365482502,0.698,0.542,1.53953854732435e-07,7
MCL1,1.22870563695405e-11,0.4247075,0.584,0.426,2.0643483406465e-07,7
LDHA,6.49055204942228e-11,0.390956899,0.611,0.447,1.09047764982344e-06,7
IFNG1,6.62256133371838e-11,0.523593734,0.358,0.204,1.11265652967803e-06,7
BHLHE40,1.09286790907412e-10,0.413589239,0.495,0.34,1.83612737403543e-06,7
SRGN1,2.08860966146495e-10,0.347369821,0.835,0.703,3.50907309222725e-06,7
TOB1,3.73636656551906e-10,0.378681412,0.38,0.235,6.27746946672858e-06,7
CD8A1,9.0272618827398e-10,0.261266069,0.92,0.817,1.51667026891911e-05,7
HSPA5,9.72090430949985e-10,0.351738615,0.7,0.55,1.63320913303907e-05,7
SNHG81,2.04376738290794e-09,0.354439002,0.429,0.31,3.43373358002364e-05,7
RALGAPA1,2.46157870919536e-09,0.304674999,0.257,0.142,4.13569838931912e-05,7
INTS61,2.59491980845546e-09,0.369650045,0.298,0.17,4.35972477018602e-05,7
