Supplementary Data 2B. Differential gene expression in CD8A+ T cells at pre-treatment vs 8 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
OSTC,2.9590432954903e-09,-0.149581104,0.227,0.331,4.97148864075326e-05
PBXIP1,3.22299872123088e-09,-0.167313218,0.279,0.388,5.41496015154e-05
PNRC2,3.26072548951132e-09,0.169824385,0.3,0.31,5.47834489492797e-05
SH2D2A,3.34023269550279e-09,0.207857719,0.399,0.386,5.61192495171423e-05
CSNK2B,3.36922032604372e-09,-0.020549504,0.469,0.562,5.66062706978606e-05
PSMA6,3.49141132479767e-09,-0.022841849,0.332,0.412,5.86592016679256e-05
IKZF3,3.65645418454786e-09,0.280568328,0.362,0.354,6.14320867545887e-05
KLF13,4.14042982308706e-09,-0.259122353,0.407,0.552,6.95633614576857e-05
CSDE1,4.30739489707657e-09,-0.020648457,0.43,0.523,7.23685416657835e-05
PNN,4.40178959770067e-09,-0.026110136,0.28,0.367,7.39544670309689e-05
GZMM,4.42317809832629e-09,0.180015448,0.765,0.779,7.431381522998e-05
IGF2R,5.1378489702621e-09,0.265726334,0.332,0.309,8.63210005493736e-05
NDUFV2,5.22505491591531e-09,-0.162677643,0.25,0.36,8.77861476422931e-05
EVI2A,5.53736084913102e-09,-0.175848514,0.064,0.132,9.30331996262502e-05
RUNX3,6.70405687302405e-09,0.396907337,0.378,0.295,0.000112635
MAX,7.32025373662734e-09,-0.101796632,0.25,0.347,0.000122988
JUNB,7.34777631180276e-09,-0.322183724,0.652,0.769,0.00012345
SFPQ,7.38438628897301e-09,-0.113050716,0.457,0.582,0.000124065
BNIP2,7.88670827884614e-09,-0.11605751,0.213,0.305,0.000132505
EIF1,8.71091319290254e-09,-0.171509429,0.972,0.988,0.000146352
MAD1L1,8.79578209891934e-09,-0.123499036,0.218,0.313,0.000147778
ATRAID,8.80251638546678e-09,-0.140154252,0.257,0.36,0.000147891
FAM32A,8.94101925562419e-09,-0.046103217,0.175,0.243,0.000150218
TNFAIP8,1.00079820961219e-08,-0.189575248,0.264,0.379,0.000168144
NDUFB8,1.0893400182053e-08,0.119762901,0.478,0.521,0.00018302
ASCL2,1.09921988056327e-08,0.224992262,0.24,0.215,0.00018468
RPL36AL,1.116983557484e-08,-0.165372948,0.878,0.939,0.000187664
SND1,1.17122263320659e-08,-0.211393589,0.158,0.256,0.000196777
PTGER2,1.21326787342667e-08,-0.265363032,0.24,0.364,0.000203841
CLEC2B,1.22297506259025e-08,-0.274200974,0.392,0.536,0.000205472
ERH,1.22834281697523e-08,-0.242431898,0.329,0.465,0.000206374
ACTN4,1.22944900013596e-08,0.217259156,0.386,0.395,0.00020656
CAPZB,1.35222307883116e-08,0.096978664,0.684,0.739,0.000227187
TCF25,1.35586616737026e-08,0.282541542,0.639,0.627,0.000227799
NDUFB1,1.47438116483594e-08,-0.082729653,0.186,0.265,0.000247711
TMEM123,1.47691467629872e-08,-0.111321489,0.256,0.347,0.000248136
METTL9,1.54769726758927e-08,-0.166309013,0.189,0.284,0.000260029
SF3B6,1.58012755982477e-08,-0.199373782,0.248,0.363,0.000265477
TMED2,1.78999486053388e-08,-0.170494434,0.282,0.397,0.000300737
NGLY1,1.91738449380156e-08,0.07475358,0.153,0.188,0.00032214
NCK2,2.00826336588576e-08,-0.189197236,0.185,0.279,0.000337408
OST4,2.21428858351763e-08,-0.046884448,0.696,0.802,0.000372023
CTDSP1,2.27289680280179e-08,-0.056127824,0.337,0.427,0.000381869
TMEM243,2.27923935735696e-08,-0.054982771,0.2,0.269,0.000382935
ANAPC11,2.30548169006446e-08,0.067151721,0.319,0.361,0.000387344
GADD45B,2.40479949432e-08,-0.334962584,0.336,0.476,0.00040403
PABPC1,2.46462983691769e-08,-0.171375704,0.841,0.915,0.000414082
PGK1,2.46864810290211e-08,-0.093381466,0.43,0.542,0.000414758
ATP6V1G1,2.49006035250885e-08,-0.191360167,0.53,0.663,0.000418355
IER2,2.50458710177234e-08,-0.287368179,0.543,0.682,0.000420796
SF3B2,2.62070942873951e-08,-0.045553253,0.516,0.62,0.000440305
DAZAP2,2.9169743884809e-08,-0.262178875,0.674,0.805,0.000490081
TMEM109,2.96002205574281e-08,-0.198564409,0.246,0.36,0.000497313
OSER1,2.97840390269229e-08,-0.196819578,0.071,0.146,0.000500402
SRSF1,3.16336665709958e-08,-0.102702805,0.223,0.315,0.000531477
FLT3LG,3.19513523702713e-08,-0.19855176,0.256,0.358,0.000536815
ATP5F1C,3.3337611177901e-08,-0.150397952,0.287,0.395,0.000560105
CYTIP,3.46689220243208e-08,-0.190643406,0.359,0.482,0.000582473
TCIRG1,3.48362062290851e-08,0.020856024,0.231,0.293,0.000585283
CCDC59,4.29616921168982e-08,-0.14377948,0.171,0.26,0.000721799
BTG1,4.37491815991326e-08,-0.209163504,0.871,0.94,0.00073503
RTCB,4.62591697313534e-08,-0.060574991,0.08,0.13,0.0007772
ATP6AP1,4.72214593401304e-08,-0.069270244,0.185,0.256,0.000793368
TCTEX1D2,4.78934420921728e-08,-0.124297384,0.05,0.102,0.000804658
SERTAD1,4.82422136132786e-08,-0.285616274,0.085,0.173,0.000810517
EIF4A2,4.97206246290614e-08,-0.115089061,0.429,0.551,0.000835356
KXD1,5.00115482207395e-08,-0.146595967,0.189,0.276,0.000840244
NSD1,5.06374262709411e-08,0.092032126,0.188,0.216,0.000850759
LY9,5.43657806331783e-08,-0.237667947,0.194,0.302,0.000913399
KLF2,5.90728512371438e-08,-0.299657479,0.786,0.872,0.000992483
NEMF,5.97317955302802e-08,-0.111953486,0.15,0.225,0.001003554
PSME2,6.05967383672134e-08,0.034870825,0.558,0.629,0.001018086
MCUB,6.43244453232953e-08,-0.212320455,0.195,0.291,0.001080715
SDHD,6.45116121216981e-08,-0.184455669,0.189,0.289,0.00108386
NDUFC1,6.6171844262182e-08,-0.260668041,0.16,0.265,0.001111753
ERP29,6.77382063734381e-08,-0.147479472,0.539,0.666,0.00113807
HSPA9,6.83095800507192e-08,-0.184320258,0.212,0.318,0.001147669
PHF20,8.13247458626128e-08,0.043879411,0.196,0.236,0.001366337
ANXA1,8.30298468314195e-08,-0.299702463,0.73,0.835,0.001394984
CD99,8.79703604658484e-08,0.021054055,0.859,0.921,0.00147799
AIP,9.14478970162414e-08,-0.19440747,0.256,0.369,0.001536416
TMEM160,9.18266665650354e-08,0.081693669,0.287,0.317,0.00154278
MT-CO1,9.30901596944851e-08,0.32586371,0.998,1,0.001564008
KPNB1,9.6305042331875e-08,0.034889437,0.308,0.371,0.001618021
SCAF11,9.89668723376285e-08,0.048954459,0.329,0.39,0.001662742
GABARAP,1.04462286321073e-07,-0.166786175,0.604,0.731,0.001755071
GNPTAB,1.07249430354473e-07,0.220578823,0.281,0.271,0.001801898
BUD23,1.10483748689954e-07,0.104781886,0.165,0.182,0.001856237
PIP4K2A,1.11807599510627e-07,0.047008615,0.449,0.503,0.001878479
WASHC1,1.11858388989508e-07,-0.071039375,0.292,0.383,0.001879333
DDX5,1.16993249504401e-07,-0.146704929,0.917,0.97,0.001965604
MAF1,1.27426695679287e-07,-0.109682436,0.279,0.368,0.002140896
SSBP4,1.33461709514965e-07,0.142462336,0.555,0.59,0.00224229
PSMB8-AS1,1.34735262086424e-07,-0.183300833,0.173,0.268,0.002263687
EIF4B,1.35419069441255e-07,-0.096545712,0.602,0.717,0.002275176
SPEN,1.38078654925898e-07,0.294097534,0.192,0.149,0.002319859
CDC73,1.41090540454435e-07,-0.110148961,0.154,0.225,0.002370462
RNF19A,1.48271073222035e-07,-0.067990196,0.2,0.275,0.002491102
SDHA,1.48557994921413e-07,-0.121938136,0.255,0.351,0.002495923
MYL12B,1.50048462186675e-07,-0.236462628,0.714,0.839,0.002520964
C9orf16,1.51176192039476e-07,0.081079147,0.54,0.594,0.002539911
WDR86-AS1,1.55010244927401e-07,-0.173334877,0.02,0.051,0.002604327
LCP1,1.63216119625647e-07,0.074896642,0.74,0.801,0.002742194
CYC1,1.71092325294013e-07,0.066491167,0.263,0.308,0.002874522
P2RY8,1.72628394057903e-07,-0.199024821,0.349,0.474,0.00290033
EIF3G,1.7633841314834e-07,-0.056080906,0.493,0.596,0.002962662
ITGB2,1.76341515977985e-07,0.104534977,0.847,0.87,0.002962714
PTGER4,1.82437577138449e-07,-0.184467044,0.164,0.254,0.003065134
ORAI1,1.84195908508119e-07,0.185871349,0.378,0.364,0.003094675
RAP1A,1.85498867631207e-07,-0.022037318,0.29,0.362,0.003116566
IL16,1.88311138737787e-07,-0.213835268,0.259,0.372,0.003163815
GNG2,1.89760967195893e-07,0.03676729,0.47,0.541,0.003188174
UBE2E3,1.99325232200298e-07,0.032022369,0.216,0.25,0.003348863
TMEM179B,2.05543418618895e-07,-0.013984094,0.183,0.233,0.003453335
TMEM59,2.20562221993672e-07,-0.146714809,0.368,0.479,0.003705666
SS18L2,2.21824463810851e-07,-0.118712473,0.191,0.271,0.003726873
EIF3M,2.23295377783784e-07,-0.21675206,0.277,0.388,0.003751586
AP2M1,2.25308319194502e-07,-0.135139908,0.312,0.419,0.003785405
PTPRA,2.26994339092469e-07,0.099261447,0.27,0.304,0.003813732
