Supplementary Data 7. Differential gene expression between clone #1 and clone #2 in Table 1,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Diff
HLA-A,4.1277217302379e-20,-0.344321281,0.996,0.999,6.93498527897269e-16,0.003
DUSP2,5.78625765179913e-20,1.347199131,0.663,0.418,9.72149148078772e-16,-0.245
ITGB2,8.96006577772803e-20,-0.693016871,0.807,0.89,1.50538065131609e-15,0.083
CASK,1.26871389265002e-19,2.138418671,0.148,0.028,2.13156621104131e-15,-0.12
RPS28,2.37969369790553e-19,0.302146224,1,1,3.99812338185108e-15,0
RPL36A,4.12202802727636e-19,0.421535795,0.996,0.974,6.92541928862701e-15,-0.022
SELL,5.47573561191841e-19,-2.411910473,0.117,0.381,9.19978340158412e-15,0.264
RPLP2,3.19892707319463e-18,0.310523312,1,0.997,5.3745173756743e-14,-0.003
RPL5,5.68108291487531e-18,0.373727391,0.992,0.99,9.544787405282e-14,-0.002
RPS23,2.74322573124896e-17,0.229950506,1,0.999,4.60889355107138e-13,-0.001
INPP4B,3.01960499184498e-17,1.721723118,0.186,0.048,5.07323834679876e-13,-0.138
TIMP1,3.40438501903572e-17,0.969380019,0.409,0.169,5.71970727048191e-13,-0.24
RPS13,4.29328115143893e-17,0.317112029,0.996,0.997,7.21314166253254e-13,0.001
NPDC1,7.00492491197991e-17,1.253334112,0.356,0.146,1.17689743446174e-12,-0.21
HLA-C,1.25900316820153e-16,-0.244515806,0.996,1,2.11525122289538e-12,0.004
S100B,1.56992929129508e-16,-6.56557194,0.004,0.218,2.63763820230487e-12,0.214
RPS18,4.3423650940578e-16,0.254983418,1,1,7.2956075945265e-12,0
RPL3,7.62602905296868e-16,0.253551139,0.996,0.998,1.28124914118927e-11,0.002
CX3CR1,8.20552418085923e-16,-1.197395116,0.284,0.523,1.37861011762616e-11,0.239
RPS5,1.03696984192211e-15,0.325201051,0.989,0.982,1.74221303141334e-11,-0.007
RPL11,2.2230418205633e-15,0.235592213,1,1,3.73493256272841e-11,0
LITAF,2.32912197877416e-15,-0.720549025,0.723,0.82,3.91315783653846e-11,0.097
RPL18A,4.49106498092663e-15,0.23602585,1,1,7.54543827445483e-11,0
PRSS23,7.29739090042372e-15,-1.412668679,0.189,0.436,1.22603464518019e-10,0.247
SH3BGRL3,1.09477977671073e-14,-0.329825564,1,0.998,1.83933950285169e-10,-0.002
CD99,1.6199456369867e-14,-0.518444264,0.867,0.945,2.72167066470136e-10,0.078
EFHD2,9.32084809210666e-14,-0.485820963,0.864,0.913,1.56599568795484e-09,0.049
RPL19,1.38326209283109e-13,0.214448893,1,1,2.32401864216551e-09,0
S100A4,1.92771409747544e-13,-0.359539671,0.989,0.996,3.23875245516848e-09,0.007
RPL18,2.12738074592977e-13,0.238904169,1,1,3.5742123912366e-09,0
RPS6,2.36056922846561e-13,0.2518393,0.996,0.999,3.96599236074508e-09,0.003
PFN1,2.91562623121987e-13,-0.357421454,0.985,0.995,4.8985436310725e-09,0.01
MT-CYB,3.49127381298954e-13,0.405911511,1,0.986,5.86568913320373e-09,-0.014
LINC01550,4.0304010207767e-13,2.026275996,0.114,0.025,6.77147675500694e-09,-0.089
TENT5C,4.60779057367191e-13,1.137296698,0.333,0.148,7.74154894282617e-09,-0.185
HINT1,5.00541702570958e-13,0.567067003,0.864,0.718,8.40960114489467e-09,-0.146
ABLIM1,5.0651708582166e-13,1.235557036,0.273,0.11,8.50999355888972e-09,-0.163
RPL22,5.9072860720519e-13,0.376875526,0.981,0.937,9.9248313296544e-09,-0.044
RPSA,8.40941792586383e-13,0.313712238,0.981,0.98,1.41286630572438e-08,-0.001
RPS2,9.32299830704045e-13,0.236537071,1,0.999,1.56635694556587e-08,-0.001
LYAR,1.17016719290289e-12,0.859278989,0.587,0.362,1.96599790079615e-08,-0.225
FLT3LG,1.73309956283514e-12,0.85515431,0.439,0.225,2.91178057551931e-08,-0.214
FCGRT,2.20837501546124e-12,1.386123195,0.17,0.053,3.71029086347642e-08,-0.117
B2M,2.7615447041825e-12,-0.16492004,1,1,4.63967125749702e-08,0
CAMK4,3.69608373586868e-12,0.940121165,0.371,0.177,6.20979028463297e-08,-0.194
GAS5,6.74187449217725e-12,0.749051059,0.648,0.426,1.1327023334307e-07,-0.222
EML4,7.36290009455273e-12,0.817980356,0.549,0.335,1.2370408448858e-07,-0.214
YBX3,7.76695926586323e-12,1.012698135,0.295,0.128,1.30492682625768e-07,-0.167
FOS,1.02271061537347e-11,1.000191333,0.754,0.625,1.71825610488896e-07,-0.129
TMEM123,1.06047125606916e-11,0.916232517,0.42,0.224,1.78169775732179e-07,-0.196
CTSC,1.14033077451709e-11,-0.881308984,0.473,0.614,1.91586973426617e-07,0.141
LILRB1,1.20976488522235e-11,-2.768428456,0.03,0.202,2.03252598366207e-07,0.172
RPL9,1.99829300749997e-11,0.290019968,0.996,0.979,3.3573320819007e-07,-0.017
GNLY,2.81961251416479e-11,-0.34095495,0.845,0.999,4.73723098504827e-07,0.154
TNFRSF25,3.90432993427036e-11,1.792365437,0.106,0.026,6.55966472256762e-07,-0.08
PROK2,6.01128000070684e-11,-1.95136308,0.072,0.252,1.00995515291876e-06,0.18
EEF1B2,1.38698221638321e-10,0.326413112,0.966,0.953,2.33026882174543e-06,-0.013
PABPC1,2.02917090281124e-10,0.422985274,0.902,0.798,3.40921003381317e-06,-0.104
ARHGAP15,3.34116376052736e-10,0.958586312,0.42,0.238,5.61348923406203e-06,-0.182
A1BG,3.6680346978695e-10,1.818439785,0.129,0.039,6.16266509589055e-06,-0.09
CXCR4,5.59062920108928e-10,0.552485345,0.735,0.536,9.3928161207501e-06,-0.199
CNN2,5.9573910963915e-10,0.603101775,0.712,0.544,1.00090127810474e-05,-0.168
PERP,7.19739004735778e-10,1.36986607,0.14,0.045,1.20923350185658e-05,-0.095
CD3G,1.01711418301579e-09,-0.416215217,0.807,0.839,1.70885353888482e-05,0.032
MT-ND1,1.09958019196131e-09,0.452851566,0.955,0.905,1.8474046805142e-05,-0.05
CD5,1.62821042038339e-09,-0.684990306,0.477,0.602,2.73555632728614e-05,0.125
S1PR5,1.99610469196559e-09,-1.013677099,0.205,0.391,3.35365549297138e-05,0.186
CD52,2.27861984887759e-09,-0.413126155,0.966,0.978,3.82830920809924e-05,0.012
KLF2,2.40760959533685e-09,-0.471591939,0.818,0.868,4.04502488112545e-05,0.05
TCF25,2.74433026115576e-09,-0.743270996,0.473,0.603,4.61074927176779e-05,0.13
CDC14A,3.23793455623326e-09,1.243062691,0.212,0.09,5.4400538479275e-05,-0.122
CALR,4.02063347995266e-09,-0.639115985,0.731,0.756,6.75506630966846e-05,0.025
CFL1,4.24876305614304e-09,-0.317372689,0.981,0.983,7.13834681062592e-05,0.002
SNHG29,4.55187731763939e-09,0.458391921,0.837,0.699,7.64760908136594e-05,-0.138
YWHAQ,4.67555203074126e-09,-0.641303865,0.553,0.68,7.85539496684839e-05,0.127
KLRC4,5.93013623906029e-09,-0.911429076,0.394,0.524,9.9632218952452e-05,0.13
NDUFB7,7.25236002820125e-09,-0.824619838,0.383,0.53,0.000121847,0.147
CCL5,8.18565225873918e-09,0.236761018,1,0.999,0.000137527,-0.001
TNFSF10,1.03224693184136e-08,1.490334501,0.133,0.045,0.000173428,-0.088
FCMR,1.257870297084e-08,0.702429802,0.436,0.258,0.000211335,-0.178
GPR141,1.49526111450028e-08,-3.81348504,0.008,0.125,0.000251219,0.117
RPL17,1.81165210335028e-08,0.221508591,0.989,0.993,0.000304376,0.004
FLNA,1.87613471220548e-08,-0.486977162,0.773,0.825,0.000315209,0.052
MT-ND3,2.04645905847425e-08,0.361539372,0.985,0.958,0.000343826,-0.027
PLEK,2.04763748110681e-08,-0.546789854,0.625,0.711,0.000344024,0.086
TTC38,2.17029618392399e-08,-1.334460209,0.129,0.284,0.000364631,0.155
RPL28,2.28382655653636e-08,0.176417188,1,1,0.000383706,0
CD8B,2.51699734105804e-08,0.426404269,0.83,0.694,0.000422881,-0.136
CCL4,2.58143685994926e-08,-0.971909343,0.534,0.64,0.000433707,0.106
NCK2,2.58646605198968e-08,0.956121076,0.269,0.134,0.000434552,-0.135
HELB,2.69593295712332e-08,1.361385013,0.133,0.047,0.000452944,-0.086
BIN2,3.03567892796185e-08,-0.520533647,0.64,0.695,0.000510024,0.055
CD69,3.28350790344989e-08,0.76574697,0.568,0.402,0.000551662,-0.166
PBXIP1,3.44285732317217e-08,0.69856513,0.432,0.253,0.000578434,-0.179
HLA-B,3.72236183940069e-08,-0.137440957,1,1,0.000625394,0
RPL10A,4.12306318932526e-08,0.242132192,0.989,0.982,0.000692716,-0.007
AC008105.3,4.18621930070019e-08,1.035083067,0.22,0.101,0.000703327,-0.119
CMC1,4.56972700575264e-08,0.733058129,0.273,0.135,0.00076776,-0.138
GGA1,5.51307885279744e-08,1.04769385,0.208,0.094,0.000926252,-0.114
RPL36,5.84868842050985e-08,0.231587998,0.996,0.996,0.000982638,0
PAG1,7.09720948877149e-08,0.959754671,0.182,0.076,0.001192402,-0.106
LYST,7.21714392456341e-08,1.04967116,0.197,0.086,0.001212552,-0.111
S100A6,9.29299297916741e-08,-0.32493948,0.947,0.955,0.001561316,0.008
ZNF880,9.65882968048319e-08,1.30472416,0.106,0.034,0.00162278,-0.072
JMJD1C,9.85942043338451e-08,0.684594278,0.333,0.183,0.001656481,-0.15
ASCL2,1.01435026860237e-07,-1.946113582,0.057,0.185,0.00170421,0.128
ANK3,1.01524727107764e-07,1.603117252,0.106,0.035,0.001705717,-0.071
MALAT1,1.16677131880863e-07,-0.214082102,1,1,0.001960292,0
MIF,1.18027372025027e-07,0.377524307,0.856,0.737,0.001982978,-0.119
CBLB,1.18510585904138e-07,0.774732373,0.36,0.212,0.001991096,-0.148
RPL30,1.20828127714342e-07,0.142306412,1,1,0.002030033,0
PLAC8,1.27610325162503e-07,-1.40242039,0.144,0.284,0.002143981,0.14
LGALS1,1.29874165982347e-07,-0.692060746,0.485,0.607,0.002182016,0.122
PDE3B,1.45987346998145e-07,0.97718332,0.197,0.09,0.002452733,-0.107
GNAL,1.49237326247386e-07,-4.365493905,0.008,0.109,0.002507336,0.101
PTPRM,1.69594909135267e-07,-4.452082614,0.004,0.102,0.002849364,0.098
NOP53,2.02251567296885e-07,0.43568196,0.833,0.682,0.003398029,-0.151
KLF10,2.02501639483156e-07,1.213569601,0.178,0.079,0.00340223,-0.099
ADK,2.22272494687037e-07,1.052098898,0.174,0.076,0.0037344,-0.098
C1orf21,2.3270211879991e-07,-0.886430221,0.235,0.382,0.003909628,0.147
ATF7IP2,2.55676672236779e-07,1.036560198,0.201,0.094,0.004295624,-0.107
CD3D,2.7362902124665e-07,-0.340953521,0.883,0.895,0.004597241,0.012
PYHIN1,2.77623636848037e-07,-0.776499617,0.322,0.458,0.004664355,0.136
MCUB,3.00560112715919e-07,0.770755863,0.326,0.188,0.00504971,-0.138
RPS3A,3.71425945645473e-07,0.151892464,0.996,0.998,0.006240327,0.002
ACTB,3.73498093226227e-07,-0.312370999,0.996,0.999,0.006275141,0.003
SLC9A3R1,3.79137818133611e-07,-0.465726263,0.686,0.744,0.006369894,0.058
RPL35,4.21000822766271e-07,0.195148135,0.996,0.99,0.007073235,-0.006
CALM1,4.40438456453258e-07,-0.262781481,0.966,0.976,0.007399807,0.01
DUSP1,5.50267756337694e-07,0.582014285,0.822,0.752,0.009245049,-0.07
RPS25,5.55608720115176e-07,0.151594195,0.996,0.999,0.009334782,0.003
HLA-DPB1,5.67924663948348e-07,-0.492044645,0.625,0.714,0.009541702,0.089
MT-ND4L,5.84967282504016e-07,0.325277292,0.966,0.937,0.009828035,-0.029
SSBP4,6.21249348981647e-07,-0.680167385,0.443,0.557,0.01043761,0.114
SNHG32,6.51146563524208e-07,0.772054066,0.205,0.097,0.010939913,-0.108
FXYD5,7.16399037070037e-07,0.351147929,0.875,0.794,0.01203622,-0.081
LEF1,7.68702388492194e-07,0.99822761,0.159,0.069,0.012914969,-0.09
VCL,7.85066375885089e-07,-1.085808276,0.148,0.285,0.0131899,0.137
RPS15,7.8648430371754e-07,0.147175638,0.996,1,0.013213723,0.004
FCRL6,8.03641928307641e-07,-0.768255245,0.39,0.5,0.013501988,0.11
TMEM238,8.21721120166359e-07,0.776811649,0.246,0.126,0.013805737,-0.12
APOBEC3G,8.95832284573549e-07,-0.785419057,0.307,0.452,0.015050878,0.145
LINC02446,9.37313471554072e-07,0.870240886,0.292,0.167,0.015747804,-0.125
OXNAD1,9.40145926943829e-07,0.716165426,0.242,0.124,0.015795392,-0.118
MT-ND4,1.29613208840458e-06,0.314026201,0.936,0.887,0.021776315,-0.049
NFKB1,1.35834947179272e-06,0.890198133,0.201,0.099,0.022821629,-0.102
GIMAP5,1.40236980858043e-06,0.711391988,0.386,0.243,0.023561215,-0.143
PBX4,1.41892728780539e-06,1.196858872,0.106,0.038,0.023839397,-0.068
CEP78,1.50475694388672e-06,-1.440839708,0.11,0.234,0.025281421,0.124
RPS4X,1.65150350430731e-06,0.148586571,1,0.998,0.02774691,-0.002
CD6,1.73862723098965e-06,-0.511472073,0.621,0.678,0.029210676,0.057
CCDC88C,1.79881975837593e-06,-0.760168861,0.337,0.463,0.030221971,0.126
CYBA,1.84269876691591e-06,-0.313927459,0.932,0.963,0.030959182,0.031
HLA-E,1.95257246469559e-06,-0.206648752,0.989,0.995,0.03280517,0.006
MAF,1.98353588646758e-06,-2.601300312,0.019,0.114,0.033325386,0.095
NME2,2.02243584201919e-06,0.44818666,0.735,0.566,0.033978945,-0.169
CAMK2G,2.05088290554594e-06,0.97836316,0.178,0.084,0.034456884,-0.094
HLA-DPA1,2.05396394648169e-06,-0.516043877,0.542,0.651,0.034508648,0.109
CES1,2.0685127646555e-06,0.895679033,0.133,0.054,0.034753083,-0.079
CKLF,2.18807673379307e-06,0.518725209,0.451,0.287,0.036761877,-0.164
TMEM63A,2.19376671155647e-06,1.354934454,0.114,0.044,0.036857475,-0.07
RHOA,2.32205161979264e-06,-0.341681316,0.811,0.806,0.039012789,-0.005
MTSS1,2.45960321429285e-06,-1.529166941,0.095,0.213,0.041323794,0.118
NPM1,2.56702635368319e-06,0.338480825,0.86,0.769,0.04312861,-0.091
CMKLR1,2.70264299221075e-06,-3.061832812,0.015,0.104,0.045407105,0.089
LGR6,2.7877895888486e-06,-2.598779191,0.019,0.112,0.046837653,0.093
MRPS25,3.09085103000743e-06,0.888441251,0.17,0.079,0.051929388,-0.091
SASH3,3.11526661899108e-06,-0.734938868,0.364,0.462,0.052339594,0.098
LDLRAP1,3.26995680108987e-06,0.897416629,0.197,0.098,0.054938544,-0.099
OASL,3.60784276432976e-06,-1.487614463,0.091,0.206,0.060615366,0.115
SYNE1,3.89443186011116e-06,-0.678146837,0.496,0.569,0.06543035,0.073
RAB24,3.90365111676776e-06,0.890426944,0.212,0.11,0.065585242,-0.102
TNFAIP3,3.93968911937837e-06,0.495316106,0.754,0.603,0.066190717,-0.151
TXNIP,4.27026609096907e-06,0.272403682,0.947,0.91,0.071744741,-0.037
ABHD17A,4.5034942740855e-06,-0.411796607,0.674,0.746,0.075663207,0.072
HPCAL1,4.77481879033277e-06,0.988292012,0.159,0.073,0.08022173,-0.086
CTSW,5.10272107298419e-06,-0.242278895,0.981,0.967,0.085730817,-0.014
LEPROTL1,5.64851440715948e-06,0.597261232,0.398,0.253,0.094900691,-0.145
EEF1G,6.06503067532168e-06,0.24160221,0.966,0.896,0.10189858,-0.07
GATA3,6.40039974436408e-06,0.823524772,0.288,0.169,0.107533116,-0.119
ARPC2,6.85567633779915e-06,-0.283701658,0.883,0.901,0.115182218,0.018
RSL1D1,7.06957357928274e-06,0.546444039,0.443,0.306,0.118775906,-0.137
RPL29,7.38133037334919e-06,0.149885892,1,1,0.124013732,0
TNFRSF1B,7.77135710459141e-06,-0.741960429,0.348,0.446,0.130566571,0.098
SSR3,9.06275756125664e-06,0.518905058,0.375,0.236,0.15226339,-0.139
SACM1L,9.18578872760836e-06,0.662485557,0.227,0.122,0.154330436,-0.105
RPL6,9.66019442605783e-06,0.150581276,0.996,0.999,0.162300927,0.003
CD320,1.02755484519826e-05,-0.995609832,0.186,0.302,0.17263949,0.116
ODF2L,1.02783291510398e-05,0.626241205,0.265,0.149,0.172686208,-0.116
RAC2,1.04417059588257e-05,-0.338292732,0.867,0.879,0.175431102,0.012
RPL4,1.06375583474201e-05,0.23551288,0.939,0.923,0.178721618,-0.016
MT-ATP6,1.147955785939e-05,0.307115683,0.989,0.976,0.192868052,-0.013
FGR,1.21025909798258e-05,-0.872680594,0.193,0.315,0.203335631,0.122
NFKBIZ,1.22973251314463e-05,0.871925705,0.182,0.091,0.20660736,-0.091
CD55,1.25571526069521e-05,1.032415158,0.212,0.116,0.210972721,-0.096
JUND,1.26495101056e-05,0.407467339,0.777,0.671,0.212524419,-0.106
GNPTAB,1.35987184774976e-05,-1.075140254,0.163,0.281,0.228472069,0.118
SRGN,1.43417746796749e-05,-0.398285963,0.758,0.782,0.240956156,0.024
NUCB2,1.4746054039323e-05,0.594904729,0.39,0.247,0.247748454,-0.143
RPL35A,1.51628197849181e-05,0.151776883,1,0.998,0.254750535,-0.002
ATIC,1.53130042932584e-05,0.942550257,0.193,0.101,0.257273785,-0.092
NMRAL1,1.72711646185262e-05,-1.227765409,0.11,0.219,0.290172837,0.109
TLE5,1.75240964512629e-05,-0.268896408,0.905,0.922,0.294422344,0.017
S100A10,1.89016003738495e-05,0.311120586,0.909,0.803,0.317565788,-0.106
HDGFL3,2.01335089097609e-05,0.902545748,0.167,0.083,0.338263083,-0.084
NCOA7,2.05701144564992e-05,0.647189232,0.258,0.146,0.345598493,-0.112
CD8A,2.1863821388267e-05,-0.267121722,0.89,0.943,0.367334063,0.053
NMUR1,2.20743355980673e-05,-2.742664598,0.023,0.101,0.370870912,0.078
TAGLN2,2.25721412787303e-05,0.329585354,0.867,0.782,0.379234546,-0.085
ZFP36,2.28405872001989e-05,0.384540209,0.784,0.648,0.383744706,-0.136
TPT1,2.31466752690546e-05,0.196458913,1,0.999,0.388887291,-0.001
SSBP3,2.67815768128289e-05,-0.870280829,0.212,0.328,0.449957272,0.116
SARAF,2.69364761790002e-05,0.319550056,0.807,0.715,0.452559736,-0.092
RPL41,2.93330396007109e-05,0.095747275,1,1,0.492824398,0
PLP2,3.01578267532715e-05,0.818888154,0.227,0.129,0.506681647,-0.098
ERI3,3.05347008133319e-05,0.809036766,0.17,0.086,0.513013508,-0.084
CTSD,3.13221817570223e-05,-0.519465358,0.436,0.528,0.526243976,0.092
RPL10,3.14036594737103e-05,0.118511685,1,1,0.527612883,0
TC2N,3.28993198777714e-05,0.592913507,0.371,0.243,0.552741473,-0.128
RPS27A,3.58194976392877e-05,0.111519351,0.996,1,0.60180338,0.004
AC026979.2,3.70653682518808e-05,0.822422877,0.178,0.093,0.622735252,-0.085
DBI,3.92790539567659e-05,-0.552832042,0.447,0.521,0.659927386,0.074
RPL14,4.27446172434498e-05,0.134537345,0.992,0.999,0.718152314,0.007
PDE4B,4.45799384954729e-05,0.859048826,0.17,0.088,0.748987547,-0.082
DDX39A,4.70622770059127e-05,-0.891927006,0.189,0.299,0.790693316,0.11
MZT2A,4.73662388334614e-05,0.647377296,0.36,0.232,0.795800179,-0.128
SND1,4.73758244110973e-05,0.526566551,0.311,0.193,0.795961226,-0.118
APMAP,4.79073968029659e-05,-0.563234953,0.519,0.571,0.804892174,0.052
SHISAL2A,5.30138460545551e-05,0.805403921,0.133,0.062,0.890685628,-0.071
TGFBR3,5.3385432507829e-05,-0.544271336,0.405,0.502,0.896928652,0.097
LDHB,6.00565537121041e-05,0.383501122,0.678,0.538,1,-0.14
PPP1R14B,6.27252658109734e-05,0.682454002,0.178,0.093,1,-0.085
JAZF1,6.51464895159409e-05,-0.969005057,0.125,0.231,1,0.106
GNG2,6.54495680457376e-05,-0.501221246,0.458,0.555,1,0.097
CD44,6.61059124287412e-05,0.479528195,0.602,0.471,1,-0.131
ABI3,7.96627693933424e-05,-0.809860573,0.235,0.335,1,0.1
BRD3,7.9934983109333e-05,0.927224944,0.155,0.079,1,-0.076
PDE4D,8.09661788016792e-05,0.614599374,0.212,0.118,1,-0.094
IGFLR1,8.16684945847097e-05,0.700037518,0.258,0.158,1,-0.1
BABAM2,8.2394607033027e-05,0.964007867,0.117,0.054,1,-0.063
JUNB,8.37631208016869e-05,0.522345762,0.822,0.751,1,-0.071
SNHG16,8.50952231956681e-05,0.499007009,0.345,0.226,1,-0.119
ADGRE5,8.71107540644996e-05,-0.691903574,0.36,0.448,1,0.088
IBTK,8.9408081051942e-05,0.542958796,0.155,0.078,1,-0.077
AC090152.1,9.04294484149638e-05,-1.992439159,0.038,0.115,1,0.077
UBASH3A,9.13373971012934e-05,0.793382999,0.144,0.071,1,-0.073
TGIF1,9.22482167832639e-05,0.910546402,0.159,0.082,1,-0.077
GYPC,9.36901361485873e-05,0.371442088,0.617,0.474,1,-0.143
SNHG8,9.48283534673448e-05,0.519944399,0.436,0.303,1,-0.133
DPYD,9.5815683867413e-05,0.688667861,0.22,0.127,1,-0.093
RBL2,9.69758033291704e-05,0.439391782,0.583,0.444,1,-0.139
ARL14EP,9.90086711609249e-05,0.74606234,0.174,0.094,1,-0.08
TBX21,0.000100744,-0.491718361,0.432,0.513,1,0.081
MCTP2,0.000105524,-1.152962879,0.091,0.186,1,0.095
CD81,0.000105606,-0.279183408,0.788,0.804,1,0.016
PFKP,0.000115177,0.5223123,0.163,0.083,1,-0.08
RNF213,0.000116709,-0.406872029,0.648,0.704,1,0.056
PRKCQ,0.000117255,-1.045037432,0.11,0.207,1,0.097
CAPNS1,0.000121615,-0.497981742,0.386,0.476,1,0.09
CYFIP2,0.000123418,-0.557652855,0.424,0.506,1,0.082
R3HDM4,0.000123487,0.545142753,0.348,0.231,1,-0.117
TTC39C,0.000124224,0.418925157,0.348,0.225,1,-0.123
PTPN18,0.000128276,-0.861305422,0.201,0.298,1,0.097
LPAR6,0.000131005,-2.001735872,0.03,0.102,1,0.072
PTGER2,0.000131889,0.640958476,0.383,0.27,1,-0.113
CD74,0.000132793,0.471024717,0.803,0.751,1,-0.052
GPI,0.000142665,-0.699912805,0.303,0.397,1,0.094
PDCD4,0.000143393,0.448826688,0.364,0.239,1,-0.125
NAP1L1,0.000145301,0.442088392,0.413,0.285,1,-0.128
MYH9,0.000153345,-0.417210485,0.644,0.721,1,0.077
KLRK1,0.000154823,0.299448845,0.727,0.632,1,-0.095
MYL12B,0.000155617,-0.308585533,0.792,0.79,1,-0.002
RGCC,0.000178612,1.578660249,0.117,0.058,1,-0.059
RPL23,0.000179096,0.305329623,0.792,0.681,1,-0.111
EPS8L2,0.000190098,0.841770475,0.106,0.048,1,-0.058
MYBL1,0.000192783,0.457909628,0.572,0.45,1,-0.122
RAP2A,0.000194163,-1.154235873,0.102,0.195,1,0.093
CDR2,0.000197685,0.949801452,0.106,0.049,1,-0.057
POGK,0.00021641,1.061234288,0.106,0.05,1,-0.056
GCHFR,0.000219231,0.982196322,0.117,0.057,1,-0.06
TECR,0.000230538,-0.642936816,0.386,0.451,1,0.065
CSRNP1,0.000247018,0.8583485,0.167,0.093,1,-0.074
HSP90AB1,0.000254061,0.32851358,0.818,0.73,1,-0.088
SELPLG,0.000254292,-0.49073227,0.549,0.593,1,0.044
CST3,0.000267117,-1.472217675,0.038,0.11,1,0.072
TLN1,0.000269469,-0.403629426,0.564,0.605,1,0.041
CTBP1,0.000276533,-0.697748553,0.299,0.385,1,0.086
GBP2,0.000285488,0.538641768,0.303,0.201,1,-0.102
BTG2,0.000288929,0.540581974,0.424,0.3,1,-0.124
