Supplementary Data 7. Differential gene expression between clone #1 and clone #2 in Table 1,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Diff
GZMK,5.65558400634959e-146,5.286117737,0.466,0.025,9.50194668906794e-142,-0.441
PECAM1,2.83757216918861e-132,8.540039026,0.295,0.001,4.76740500145378e-128,-0.294
CD7,5.56282337096654e-98,2.465281298,0.83,0.263,9.34609954556089e-94,-0.567
TCF7,2.37987713922764e-75,3.722668962,0.337,0.033,3.99843158161636e-71,-0.304
FGFBP2,8.27810259065124e-70,-1.578089177,0.504,0.959,1.39080401625531e-65,0.455
GZMH,1.00876928971012e-69,-1.310350694,0.739,0.991,1.69483328364198e-65,0.252
IL7R,7.70815980338686e-56,1.969123816,0.746,0.324,1.29504792856703e-51,-0.422
LTB,2.80743898509092e-52,2.994142081,0.337,0.056,4.71677823885126e-48,-0.281
CST7,1.87852142412651e-51,-0.88204151,0.943,0.985,3.15610384467495e-47,0.042
CLECL1,1.01087852584385e-49,7.114080002,0.114,0.001,1.69837701127025e-45,-0.113
TMEM14C,1.23804906853899e-48,4.612588514,0.144,0.005,2.08004624005235e-44,-0.139
CXCR3,3.92799657332915e-46,3.418921674,0.227,0.026,6.59942704285031e-42,-0.201
CD27,3.70159730601452e-43,2.875227375,0.216,0.024,6.21905363383499e-39,-0.192
NKG7,3.69406179357733e-42,-0.573490703,1,0.999,6.20639321938927e-38,-0.001
SPON2,1.41322361614522e-41,-1.978122903,0.28,0.708,2.37435699748558e-37,0.428
RPS12,4.02568229117142e-41,0.392609817,1,1,6.7635488173971e-37,0
GZMB,2.96134410518173e-38,-1.116933376,0.674,0.912,4.97535423111583e-34,0.238
PRF1,2.86976694708926e-36,-1.147554485,0.636,0.868,4.82149544780466e-32,0.232
PHACTR2,7.15599778224633e-35,3.637561454,0.14,0.011,1.20227918739521e-30,-0.129
MT-ND2,2.47149772019106e-34,0.885792487,0.977,0.875,4.152363319693e-30,-0.102
FCGR3A,6.26338202598395e-33,-3.228578552,0.08,0.47,1.05231081418556e-28,0.39
CYB561,9.65139894387242e-33,3.537140859,0.136,0.012,1.62153153656e-28,-0.124
RPL32,1.79467754110058e-30,0.325407771,0.992,1,3.01523773680308e-26,0.008
RPLP1,2.57085646808423e-30,0.403941791,1,1,4.31929595202832e-26,0
ADGRG1,1.0398434787253e-29,-1.438096562,0.348,0.684,1.74704102860638e-25,0.336
RPL39,1.3345964475768e-29,0.36491863,0.996,1,2.24225549157378e-25,0.004
RPL13,2.40955268110662e-29,0.328813622,1,0.999,4.04828945952723e-25,-0.001
TPD52,3.80083669969488e-28,3.392868814,0.117,0.01,6.38578573915737e-24,-0.107
EEF1A1,1.39210924433635e-26,0.30928591,0.996,1,2.33888274140949e-22,0.004
ZEB2,9.20315078464416e-26,-1.412767362,0.371,0.663,1.54622136332807e-21,0.292
RPL12,9.26478449805392e-25,0.356834396,1,0.999,1.55657644351804e-20,-0.001
RPL8,1.32696543684619e-24,0.433714186,1,0.992,2.22943463044528e-20,-0.008
HOPX,1.51290586950419e-24,1.755842123,0.326,0.102,2.54183315135399e-20,-0.224
COTL1,4.1313005267705e-24,1.204170332,0.655,0.366,6.94099801502711e-20,-0.289
TMSB10,4.35292581879814e-24,-0.371673445,0.996,0.999,7.31335066816275e-20,0.003
RPL34,1.59587255740574e-23,0.286861843,1,0.999,2.68122548369738e-19,-0.001
NSG1,7.43624603794986e-23,1.684404716,0.254,0.066,1.24936369683596e-18,-0.188
ZFP36L2,1.30831726077462e-22,0.735149598,0.913,0.782,2.19810382982744e-18,-0.131
SATB1,1.72831087682052e-21,1.968970327,0.239,0.064,2.90373510414615e-17,-0.175
RAP1B,1.85270721774755e-21,-0.921187698,0.572,0.78,3.11273339653766e-17,0.208
ITGB1,4.04048552314529e-21,-0.902370231,0.602,0.79,6.7884197274364e-17,0.188
RPLP0,7.58355195865896e-21,0.42521139,0.985,0.993,1.27411256457429e-16,0.008
RPS8,1.19665103817301e-20,0.3141531,1,1,2.01049340923448e-16,0
