Supplementary Data 2E. Differential gene expression in CD8A+ T cells at 12 vs 32 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
KDELR1,2.12796771834367e-27,-0.003367014,0.201,0.342,3.5751985635892e-23
ARL4C,2.72357967789726e-27,-0.625118408,0.533,0.847,4.57588621683519e-23
SSBP1,2.85856328661779e-27,-0.216571769,0.208,0.413,4.80267217784654e-23
BRD2,3.2574105452635e-27,-0.863535304,0.269,0.645,5.47277545709721e-23
RPL9,3.91352484549135e-27,-0.078504973,0.93,0.98,6.57511309291002e-23
PYURF,4.27234254112697e-27,0.144790341,0.278,0.382,7.17796270334743e-23
DBI,5.64829439964969e-27,-0.096285454,0.381,0.581,9.48969942085144e-23
ISCU,9.15306976730774e-27,-0.136259915,0.289,0.489,1.53780725160537e-22
PRR13,1.85327010879891e-26,0.165182899,0.504,0.641,3.11367910979305e-22
SELENOT,2.36970883346866e-26,-0.17027664,0.254,0.452,3.98134781111069e-22
MAPKAPK2,2.90943789109202e-26,-0.449725652,0.072,0.27,4.8881466008237e-22
VAMP8,3.78435929174103e-26,-0.077316199,0.319,0.499,6.3581020460541e-22
SSU72,3.78655784542943e-26,0.208078308,0.282,0.375,6.36179583610598e-22
LDHB,4.84938118255539e-26,-0.382992007,0.392,0.674,8.14744532481132e-22
SRSF2,6.84438679710478e-26,-0.840941872,0.332,0.705,1.14992542578157e-21
ZFP36L1,1.12551035607354e-25,-0.895424059,0.331,0.668,1.89096994923916e-21
PBXIP1,1.42759785585241e-25,-0.323127823,0.195,0.378,2.39850715761763e-21
NDUFA13,1.50041003897342e-25,0.135948919,0.499,0.654,2.52083890647924e-21
SRSF7,1.90512022729139e-25,-0.769833714,0.444,0.78,3.20079249387226e-21
CD63,2.71696738408441e-25,0.210416862,0.333,0.396,4.56477690200021e-21
RPL23A,3.15873351268624e-25,0.56346158,0.976,0.983,5.30698817466414e-21
GNG2,3.16168714875209e-25,0.150144231,0.423,0.537,5.31195057861838e-21
IGFLR1,3.72321042009874e-25,-0.080952849,0.126,0.234,6.2553658268079e-21
THRAP3,5.01858488470345e-25,-0.21264324,0.239,0.456,8.43172446479026e-21
BPTF,5.06333832050871e-25,-0.497905814,0.23,0.509,8.50691471228668e-21
LMAN2,5.32768252709017e-25,0.102528383,0.354,0.478,8.9510394137642e-21
IK,5.71239657265878e-25,0.271387008,0.324,0.382,9.59739748172402e-21
ANKRD13D,8.13740964100091e-25,-0.282300825,0.124,0.301,1.36716619378456e-20
GZMK,9.3715699859814e-25,-0.22015645,0.141,0.166,1.57451747334474e-20
ACTB,1.07603212521524e-24,-0.182102784,0.996,0.991,1.80784157357413e-20
GZMM,1.12359822299264e-24,0.223609374,0.74,0.825,1.88775737444994e-20
PNRC1,1.12387303011812e-24,-0.480173111,0.843,0.955,1.88821907790145e-20
ROMO1,1.17961790153071e-24,0.347196168,0.287,0.304,1.98187603636175e-20
RBBP7,1.20591367165388e-24,-0.203707649,0.133,0.285,2.02605555974568e-20
EIF5A,1.3392556147023e-24,-0.376243583,0.346,0.632,2.25008335826133e-20
HDAC1,1.93930811186339e-24,-0.373543362,0.172,0.416,3.25823155874167e-20
GHITM,2.03004769145418e-24,-0.24256641,0.237,0.464,3.41068312641217e-20
TMSB10,2.42888308310773e-24,0.119589586,0.995,0.998,4.0807664679293e-20
CD99,2.59955158427147e-24,0.058472987,0.841,0.91,4.36750661673449e-20
NENF,2.97350240078213e-24,0.06007592,0.175,0.266,4.99578138355406e-20
SLC25A39,3.50508397708203e-24,-0.020197735,0.131,0.22,5.88889158989552e-20
AGTRAP,4.27529564231167e-24,0.174046785,0.206,0.251,7.18292420864783e-20
PTPRCAP,5.00266691692808e-24,0.399862657,0.287,0.266,8.40498068713087e-20
RAB8A,5.82665748046063e-24,-0.278435947,0.12,0.308,9.78936723292191e-20
PRELID1,5.83149485039141e-24,-0.028017983,0.358,0.522,9.7974944981426e-20
RHOG,6.45113462562074e-24,-0.127665354,0.282,0.477,1.08385512845054e-19
SNX6,6.56792953576342e-24,-0.385951286,0.215,0.463,1.10347784130361e-19
ARRB2,7.01333076397835e-24,-0.26163113,0.344,0.6,1.178309701656e-19
NAXE,7.261001816231e-24,0.017023546,0.189,0.292,1.21992091514497e-19
NDUFA1,8.06223613717881e-24,0.210180057,0.455,0.543,1.35453629340741e-19
DCTN3,8.76787347168579e-24,-0.093639281,0.225,0.397,1.47309042197793e-19
INTS6,8.91030636734453e-24,-0.63070334,0.098,0.345,1.49702057277755e-19
SLC2A3,9.66065477239658e-24,-0.54959695,0.127,0.36,1.62308660831035e-19
BRK1,9.79140169142257e-24,-0.164756314,0.315,0.551,1.64505339817591e-19
