Supplementary Data 2C. Differential gene expression in CD8A+ T cells at pre-treatment vs 12 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CHMP1B,4.27104956906896e-10,0.443479167,0.234,0.123,7.17579038099277e-06
STAT1,4.34332963547577e-10,0.397322509,0.384,0.269,7.29722812056285e-06
RPS28,5.28450189707733e-10,-0.18055703,0.998,0.998,8.87849163727962e-06
TRAF3IP3,5.56461417819396e-10,-0.261698105,0.591,0.662,9.34910828078368e-06
TSC22D2,9.53542711995644e-10,0.30976449,0.186,0.089,1.60204711042388e-05
CPT1A,1.19914067029691e-09,-0.279346848,0.112,0.179,2.01467624016583e-05
DAZAP2,1.20685197069975e-09,-0.11287435,0.783,0.805,2.02763199597265e-05
HIST1H3A,1.43865505640944e-09,0.193255261,0.073,0.02,2.41708436027351e-05
NKG7,1.63463362505014e-09,0.281333403,0.977,0.922,2.74634795344674e-05
EVL,1.73542108316165e-09,-0.172925433,0.803,0.843,2.91568096181989e-05
ITGB2-AS1,3.36035596609254e-09,-0.320382756,0.22,0.32,5.64573405863208e-05
HEXIM1,4.24538950093363e-09,0.279569274,0.172,0.083,7.13267890051859e-05
HCST,4.84440601528445e-09,-0.146346493,0.899,0.92,8.13908654627941e-05
ARHGDIB,5.57379645779603e-09,-0.08224876,0.931,0.942,9.36453542874312e-05
UBB,1.16120193799108e-08,0.268820718,0.884,0.822,0.000195094
LENG8,1.25663509665189e-08,-0.304073779,0.251,0.341,0.000211127
CSKMT,1.48418032963046e-08,0.252650004,0.191,0.098,0.000249357
IL7R,1.95541627617776e-08,-0.6363539,0.38,0.542,0.000328529
SUN2,2.71091131891883e-08,0.281105623,0.824,0.763,0.00045546
HNRNPA1,4.08961324118954e-08,0.060243296,0.914,0.933,0.000687096
TAP1,4.27053385631096e-08,0.345494615,0.554,0.411,0.000717492
LDHA,5.58874314060715e-08,0.371927579,0.633,0.508,0.000938965
SRGN,5.88888619949201e-08,0.294363566,0.849,0.803,0.000989392
ANKRD37,6.21794727068276e-08,0.200311793,0.1,0.038,0.001044677
IKZF3,7.05193337311051e-08,0.281783506,0.432,0.354,0.001184795
PCED1B-AS1,7.23258981038652e-08,-0.228532016,0.805,0.845,0.001215147
KLF2,8.55637606192999e-08,0.319154536,0.905,0.872,0.001437557
GIMAP4,8.76301090260662e-08,-0.209388453,0.52,0.568,0.001472273
KLF13,9.56550006885685e-08,-0.214171329,0.49,0.552,0.0016071
FUS,9.75299662207748e-08,0.303662941,0.663,0.579,0.001638601
GAPDH,9.91882403017892e-08,0.203035294,0.965,0.962,0.001666462
ZFPM1,1.0049346311316e-07,-0.238553901,0.117,0.183,0.001688391
DDX3X,1.30779110298798e-07,0.292513043,0.332,0.223,0.00219722
AC004865.2,1.4781148588645e-07,-0.224505161,0.12,0.168,0.002483381
MYH9,1.48116309076374e-07,0.26585068,0.759,0.675,0.002488502
ZNF880,1.51079834828352e-07,-0.167568767,0.031,0.076,0.002538292
MSN,1.5805420501831e-07,0.289817676,0.766,0.698,0.002655469
ARL4C,1.67645511508038e-07,-0.164690269,0.847,0.854,0.002816612
NEU1,1.99698201652725e-07,0.306301411,0.204,0.112,0.003355129
PRMT2,2.06806671850825e-07,-0.180398937,0.716,0.718,0.003474559
ZRANB2,2.07431731973675e-07,-0.279736382,0.275,0.342,0.003485061
IER3,2.1671655249952e-07,0.292484578,0.122,0.063,0.003641055
CLDND1,2.27870618800339e-07,-0.309968522,0.26,0.339,0.003828454
SNHG10,2.61620016128736e-07,-0.162416572,0.029,0.069,0.004395478
TTC14,3.1064350016962e-07,-0.154202294,0.19,0.26,0.005219121
EEF2,3.12134778683211e-07,0.117882578,0.949,0.951,0.005244176
MT-CO1,3.34295842839849e-07,-0.158320977,0.997,1,0.005616504
MFSD11,3.55916507833253e-07,0.293266413,0.229,0.138,0.005979753
LINC00861,4.10942325710991e-07,-0.230153272,0.477,0.555,0.006904242
DDX5,4.26301942597935e-07,0.164463563,0.963,0.97,0.007162299
WAKMAR2,4.50035008238357e-07,0.244779137,0.152,0.094,0.007561038
AC011603.2,4.71750162291806e-07,0.153951011,0.07,0.022,0.007925874
SPCS1,5.23204606351376e-07,-0.205487226,0.524,0.58,0.008790361
PPP4R3B,6.07164450993424e-07,-0.220426349,0.229,0.298,0.01020097
SOCS1,6.19516272738835e-07,0.271014081,0.169,0.088,0.010408493
ACAA2,6.58115060999774e-07,-0.19031169,0.238,0.302,0.011056991
S100A11,6.69943540197709e-07,-0.169086573,0.511,0.557,0.011255721
S100A6,7.0989201515381e-07,-0.080544643,0.931,0.955,0.011926896
ATP5MC2,8.06029240446181e-07,0.02925246,0.865,0.889,0.013542097
C7orf50,9.0244733597977e-07,-0.230394218,0.157,0.223,0.015162018
NDUFC2,9.17992427572599e-07,-0.163024078,0.44,0.489,0.015423191
H1FX,9.50849585582012e-07,-0.353984448,0.548,0.603,0.015975224
HSP90AA1,9.58500706697159e-07,0.212038214,0.859,0.818,0.01610377
TRIAP1,1.16149516935618e-06,-0.182671763,0.101,0.154,0.01951428
RPS24,1.20551979903208e-06,-0.104370937,0.989,0.998,0.020253938
SEPTIN1,1.2057431237469e-06,-0.198721654,0.523,0.577,0.02025769
NOTCH2NLC,1.24197979176049e-06,-0.202658032,0.11,0.179,0.020866502
LTB,1.35528543590914e-06,-0.859370475,0.166,0.283,0.022770151
SNRPA,1.35937841797352e-06,-0.207191559,0.341,0.4,0.022838917
COX6B1,1.40688786528335e-06,-0.152294923,0.684,0.721,0.023637123
CEP78,1.73679681933877e-06,0.318014557,0.282,0.189,0.029179923
GNLY,1.73767006809178e-06,0.086674841,0.919,0.83,0.029194595
RGCC,1.95931170690412e-06,0.25174584,0.148,0.089,0.032918396
KLRC4,2.40357065177838e-06,-0.139776042,0.421,0.407,0.040382391
CD74,2.70861822388058e-06,0.231647307,0.811,0.797,0.045507495
GZMH,2.89945746513985e-06,0.252282759,0.909,0.795,0.048713785
S100A4,3.04274874334463e-06,-0.043147752,0.97,0.985,0.051121222
LINC01871,3.08822809874434e-06,-0.203498733,0.143,0.201,0.05188532
RNF19A,3.67576108775387e-06,-0.184600157,0.219,0.275,0.061756462
PDE6B,3.77899206399412e-06,-0.156234738,0.038,0.076,0.063490846
COX6C,3.94294305593808e-06,-0.156742362,0.688,0.717,0.066245386
RABIF,4.10439397296821e-06,-0.127340686,0.084,0.127,0.068957923
HLA-A,4.24499336908544e-06,0.118896771,0.988,0.997,0.071320134
RPS27L,4.45136372375267e-06,-0.235897425,0.345,0.387,0.074787362
PRF1,4.6635145221919e-06,0.359537717,0.876,0.789,0.078351707
HIST1H2BC,4.73669666044758e-06,0.14705514,0.058,0.021,0.079581241
AGTRAP,5.78608656143074e-06,-0.165940525,0.251,0.294,0.09721204
RNPC3,6.97538414974254e-06,-0.216079245,0.176,0.249,0.117193429
Z93241.1,7.00092143777833e-06,0.176229589,0.074,0.028,0.117622481
ATP6V1G1,7.01450874508226e-06,-0.186214981,0.625,0.663,0.117850761
TNF,7.27105358050488e-06,0.467444778,0.492,0.374,0.122160971
SCAND1,7.28013916812305e-06,-0.171373596,0.408,0.475,0.122313618
AL499604.1,7.51811005435546e-06,0.201013182,0.115,0.056,0.126311767
MED10,7.8908052543606e-06,-0.129092883,0.406,0.456,0.132573419
COTL1,8.03159819071147e-06,-0.239679684,0.366,0.445,0.134938881
RHOB,8.4708707143028e-06,0.313851436,0.191,0.111,0.142319099
RNF181,9.1588357912796e-06,-0.181208806,0.259,0.304,0.1538776
ARHGAP9,1.00000244711785e-05,0.25542709,0.377,0.298,0.168010411
HMGCS1,1.03424239916731e-05,0.155819421,0.073,0.03,0.173763065
AC025171.3,1.06408627223257e-05,0.176250183,0.093,0.042,0.178777135
TRMT112,1.18348141229586e-05,-0.167969627,0.524,0.574,0.198836712
FAM53C,1.21252498883461e-05,0.182715751,0.09,0.037,0.203716323
UQCR10,1.22182709104422e-05,-0.15310113,0.52,0.559,0.20527917
AC087623.2,1.25184557645309e-05,0.199343603,0.096,0.048,0.210322575
SEC61B,1.28603446786086e-05,-0.175025639,0.539,0.57,0.216066651
SNHG3,1.3023215349371e-05,-0.21274574,0.136,0.196,0.218803041
FLT3LG,1.32634080632594e-05,-0.284163018,0.287,0.358,0.222838519
RANGAP1,1.34714776914084e-05,0.174540528,0.104,0.058,0.226334297
AC243960.1,1.36542427164015e-05,-0.185459462,0.229,0.275,0.229404932
SLC25A3,1.40075486871606e-05,0.286698691,0.663,0.549,0.235340825
RAD51-AS1,1.55590584360275e-05,-0.114136191,0.029,0.06,0.261407741
PIK3R3,1.78199207522088e-05,0.119118454,0.054,0.016,0.299392489
RPS29,1.86530244433975e-05,-0.191702038,0.932,0.949,0.313389464
TOB1,1.8691380693014e-05,0.297376568,0.344,0.258,0.314033887
VAMP8,2.02168126902963e-05,-0.119480365,0.499,0.527,0.33966267
LITAF,2.13706339889614e-05,0.29410988,0.872,0.803,0.359048022
EPC1,2.25308877678248e-05,-0.208204965,0.527,0.569,0.378541445
AC008105.3,2.35003052020945e-05,-0.274519783,0.133,0.203,0.394828628
KLRD1,2.44185076119869e-05,-0.08009864,0.748,0.707,0.410255346
COG3,2.46048527591557e-05,-0.20707535,0.147,0.205,0.413386131
HM13,2.46243075888024e-05,-0.200897543,0.246,0.306,0.413712992
MARCKSL1,2.46364341105805e-05,0.314605992,0.252,0.151,0.413916729
SNRPG,2.47005335240556e-05,-0.194040162,0.299,0.345,0.414993664
TMED10,2.49070141594518e-05,-0.127055721,0.412,0.471,0.418462745
ODC1,2.55472306234889e-05,0.281145986,0.415,0.297,0.429219022
SLC46A3,2.64225582549133e-05,-0.079221176,0.066,0.096,0.443925401
ORAI1,2.81093078449501e-05,0.280408817,0.467,0.364,0.472264481
ARL6IP5,2.82977912777869e-05,-0.100355675,0.752,0.755,0.475431191
GALT,2.8314689177324e-05,-0.198628727,0.118,0.172,0.475715093
MPV17,2.83451913128131e-05,-0.147306761,0.115,0.157,0.476227559
ITM2B,2.91425366250154e-05,-0.12976529,0.899,0.919,0.489623758
RPS2,2.97919617781592e-05,0.007425943,0.994,0.997,0.50053475
MT-CO3,3.38022698508609e-05,-0.427662145,0.944,0.971,0.567911936
