Supplementary Data 9. Gene expression in each cluster within cells expressing CD4,,,,,,,
gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
CAPG,3.68932685358016e-44,0.992999609,0.382,0.081,6.19843804670002e-40,4,CAPG
HLA-DRA,1.81894443188327e-43,1.248603113,0.305,0.033,3.05600854000709e-39,4,HLA-DRA
LGALS3,3.33020014577618e-38,1.044809385,0.39,0.078,5.59506926491855e-34,4,LGALS3
GZMA,4.23131727852129e-38,1.407181975,0.353,0.065,7.10903615964362e-34,4,GZMA
PLP21,6.84553654295667e-37,0.825767393,0.786,0.563,1.15011859458215e-32,4,PLP2
ANXA5,4.80132136839241e-36,1.030817759,0.647,0.28,8.06670003103609e-32,4,ANXA5
TXN,8.48665055412521e-36,1.053261854,0.621,0.304,1.42584215959858e-31,4,TXN
MYL6,6.68655538474484e-35,0.790956052,0.963,0.815,1.12340817019098e-30,4,MYL6
TIMP11,4.53233015601099e-34,0.909883423,0.704,0.421,7.61476789511406e-30,4,TIMP1
TMSB4X,5.13183088542422e-34,0.443225207,1,0.983,8.62198907060123e-30,4,TMSB4X
HLA-DPA1,7.33835932836529e-33,1.174403424,0.527,0.186,1.23291775075865e-28,4,HLA-DPA1
TAGLN21,1.835939920436e-32,0.785397398,0.957,0.81,3.08456266032452e-28,4,TAGLN2
ALOX5AP,4.80170200434447e-32,0.917881117,0.613,0.306,8.06733953749914e-28,4,ALOX5AP
GAPDH,5.5257272727971e-32,0.696639009,0.98,0.912,9.2837743910264e-28,4,GAPDH
HLA-B,1.20676311395369e-31,0.410094904,1,0.996,2.02748270775359e-27,4,HLA-B
GLIPR1,1.29392902681809e-30,0.966588895,0.61,0.292,2.17393015795707e-26,4,GLIPR1
ACTB,1.51395134140669e-28,0.650348891,0.997,0.99,2.54358964869739e-24,4,ACTB
HLA-C,1.1063152716405e-27,0.42811266,1,0.987,1.8587202878832e-23,4,HLA-C
LINC00892,9.74824095827844e-27,0.763984401,0.291,0.064,1.63780196340036e-22,4,LINC00892
CXCR3,1.12710349903096e-26,0.933883999,0.353,0.09,1.89364658872192e-22,4,CXCR3
YWHAQ,1.71433991970681e-26,0.86315146,0.63,0.354,2.88026249909942e-22,4,YWHAQ
HLA-DPB1,2.36244725916042e-26,0.96558596,0.575,0.24,3.96914764011541e-22,4,HLA-DPB1
FLNA,4.19325913861142e-26,0.777424191,0.829,0.553,7.04509467878105e-22,4,FLNA
CRIP2,6.94277484890808e-26,0.866737211,0.496,0.227,1.16645560236505e-21,4,CRIP2
PI16,1.8738842723167e-25,0.757105349,0.276,0.063,3.14831296591929e-21,4,PI16
CFL1,2.7581326266701e-25,0.601123441,0.977,0.91,4.63393862606844e-21,4,CFL1
CD821,4.20779470443394e-25,0.757850375,0.598,0.297,7.06951588291946e-21,4,CD82
HLA-A,5.4831246468729e-25,0.486086464,1,0.984,9.21219771921115e-21,4,HLA-A
CD74,1.23666368695117e-24,1.128756487,0.869,0.757,2.07771866044666e-20,4,CD74
SEPTIN11,2.02746378201063e-24,0.712210478,0.285,0.064,3.40634190015606e-20,4,SEPTIN11
PPIB,5.12006944922208e-24,0.6702265,0.875,0.722,8.60222868163801e-20,4,PPIB
WDR86-AS1,5.41456473018583e-24,0.707761461,0.302,0.083,9.09701020318521e-20,4,WDR86-AS1
CALM1,3.18487598298863e-23,0.577782902,0.98,0.918,5.3509101390192e-19,4,CALM1
TGFB1,7.01400116361667e-23,0.738181082,0.843,0.645,1.17842233549924e-18,4,TGFB1
LMNA,3.53658353240025e-22,0.882789797,0.336,0.102,5.94181399278566e-18,4,LMNA
SLC9A3R1,3.82269136920247e-20,0.737415846,0.692,0.454,6.42250376939706e-16,4,SLC9A3R1
ACTN4,9.51253295381697e-20,0.784041333,0.419,0.164,1.59820066157079e-15,4,ACTN4
IFITM21,1.93498236137409e-19,0.598592829,0.809,0.657,3.2509638653446e-15,4,IFITM2
LIME1,2.90021757688221e-19,0.557968405,0.903,0.72,4.8726555509198e-15,4,LIME1
SSR4,3.46678926781482e-19,0.480256313,0.849,0.68,5.82455264885568e-15,4,SSR4
LY6E,1.03145701426201e-18,0.590053179,0.775,0.586,1.7329509296616e-14,4,LY6E
NME2,1.12255480898177e-18,0.474714021,0.795,0.683,1.88600433457026e-14,4,NME2
ARPC1B1,1.25596870254327e-18,0.593200193,0.897,0.736,2.11015301714295e-14,4,ARPC1B
SEC61B1,1.26926320929423e-18,0.659460717,0.644,0.412,2.13248911793523e-14,4,SEC61B
ANXA6,5.83873063527942e-18,0.6526505,0.729,0.523,9.80965134033296e-14,4,ANXA6
ADAM8,6.83031323659397e-18,0.675592964,0.353,0.125,1.14756092688015e-13,4,ADAM8
CYBA,2.03876284299545e-17,0.531894536,0.92,0.83,3.42532545251666e-13,4,CYBA
DSTN,2.04758953625547e-17,0.623355221,0.49,0.283,3.44015517986282e-13,4,DSTN
ATP5F1E,2.11443080724514e-17,0.430711576,0.969,0.893,3.55245519925256e-13,4,ATP5F1E
NPDC11,2.7260551109579e-17,0.730055801,0.447,0.204,4.58004519192037e-13,4,NPDC1
CCL5,2.64760721249137e-16,1.166498754,0.271,0.093,4.44824487770674e-12,4,CCL5
MYO1F,6.39908884442558e-16,0.555454819,0.342,0.118,1.07511091675194e-11,4,MYO1F
ARPC3,6.95643215642011e-16,0.561175108,0.849,0.689,1.16875016660014e-11,4,ARPC3
BHLHE40,1.82801301390197e-15,0.584355881,0.305,0.116,3.07124466465669e-11,4,BHLHE40
MSN,2.27851119526855e-15,0.628543561,0.709,0.485,3.82812665917069e-11,4,MSN
GSTK1,3.60556234320946e-15,0.503604856,0.954,0.871,6.05770529282621e-11,4,GSTK1
PPDPF,4.98642010728191e-15,0.426556994,0.957,0.892,8.37768442224433e-11,4,PPDPF
CAST,6.86938577922723e-15,0.618152348,0.692,0.472,1.15412550476797e-10,4,CAST
RABAC1,7.02673745235075e-15,0.562842835,0.598,0.381,1.18056215936945e-10,4,RABAC1
MYL12A,7.11167951386945e-15,0.476671001,0.957,0.873,1.19483327512521e-10,4,MYL12A
PPP1CA,1.17578119009365e-14,0.5797313,0.735,0.534,1.97542997747633e-10,4,PPP1CA
COX6A1,1.22385475978722e-14,0.486507151,0.84,0.676,2.0561983819185e-10,4,COX6A1
CKLF,1.51927256856761e-14,0.6638355,0.51,0.299,2.55252984245044e-10,4,CKLF
CAPN2,2.42805413927636e-14,0.660309704,0.57,0.336,4.07937375939821e-10,4,CAPN2
MYL12B,2.61997030309277e-14,0.540692367,0.798,0.668,4.40181210622616e-10,4,MYL12B
LCP1,5.03813085995721e-14,0.573627057,0.815,0.616,8.46456365781411e-10,4,LCP1
TSPO,5.5519017047265e-14,0.54121203,0.726,0.555,9.327750054111e-10,4,TSPO
C4orf48,6.0599620932659e-14,0.542219753,0.442,0.225,1.0181342312896e-09,4,C4orf48
CD63,8.83121555113054e-14,0.579486774,0.356,0.175,1.48373252474544e-09,4,CD63
CDC42EP3,1.7777835632338e-13,0.575017867,0.35,0.155,2.98685416458911e-09,4,CDC42EP3
CYTOR,1.96261313798647e-13,0.607884368,0.356,0.135,3.29738633313106e-09,4,CYTOR
RBPJ,2.02726281050987e-13,0.641357162,0.316,0.141,3.40600424793762e-09,4,RBPJ
IFITM31,2.21524758152883e-13,0.52344757,0.561,0.389,3.72183746172658e-09,4,IFITM3
TLN1,3.8158249043382e-13,0.571049953,0.661,0.436,6.4109674217786e-09,4,TLN1
APOBEC3G,5.01389321200723e-13,0.579431422,0.268,0.105,8.42384198549336e-09,4,APOBEC3G
CDKN2D,5.47127434900683e-13,0.581361938,0.476,0.285,9.19228803376637e-09,4,CDKN2D
TPI1,7.52132824129959e-13,0.441013353,0.701,0.502,1.26365835782074e-08,4,TPI1
SEC61G,9.92724458107158e-13,0.553270249,0.55,0.379,1.66787636206584e-08,4,SEC61G
LSP1,2.26314839514858e-12,0.613729444,0.863,0.735,3.80231561868912e-08,4,LSP1
PFKL,5.13164873087104e-12,0.611223371,0.459,0.265,8.62168303273644e-08,4,PFKL
JPT1,7.56285381630158e-12,0.503258049,0.379,0.175,1.27063506967683e-07,4,JPT1
DOK2,1.08986251619239e-11,0.556194704,0.45,0.235,1.83107801345484e-07,4,DOK2
PSMB9,1.14288399696279e-11,0.558723882,0.752,0.61,1.92015940329718e-07,4,PSMB9
TMEM258,1.36444091328394e-11,0.408384497,0.681,0.519,2.29239717840835e-07,4,TMEM258
ITGB2,1.41688291347806e-11,0.572800307,0.812,0.661,2.38050498293449e-07,4,ITGB2
ZYX,1.73341933476366e-11,0.57065208,0.644,0.462,2.91231782433643e-07,4,ZYX
POLR2L,1.77530809534856e-11,0.460278635,0.615,0.455,2.98269513099511e-07,4,POLR2L
ARPC4,2.7977399717302e-11,0.541359201,0.641,0.45,4.70048292650391e-07,4,ARPC4
LRRFIP1,2.90466211126356e-11,0.518337142,0.746,0.565,4.8801228131339e-07,4,LRRFIP1
COPE,3.50331357703251e-11,0.495498799,0.573,0.413,5.88591714077231e-07,4,COPE
TRADD1,3.61600812104569e-11,0.492138193,0.59,0.418,6.07525524416886e-07,4,TRADD
GLIPR2,3.88910979994467e-11,0.483495166,0.387,0.199,6.53409337488705e-07,4,GLIPR2
RHOA,3.97028087416012e-11,0.471104711,0.838,0.729,6.67046889667641e-07,4,RHOA
ACTG1,5.91809112778502e-11,0.476947605,0.972,0.933,9.94298490379161e-07,4,ACTG1
TPST2,8.67544551815547e-11,0.504974918,0.291,0.117,1.4575616015053e-06,4,TPST2
CSTB,1.01826590414558e-10,0.476978002,0.675,0.516,1.71078854555499e-06,4,CSTB
NDUFB9,1.21720453877514e-10,0.417989488,0.715,0.563,2.04502534559611e-06,4,NDUFB9
SERF2,1.7138923196827e-10,0.369997742,0.963,0.903,2.8795104862989e-06,4,SERF2
PLEC,2.73134914013461e-10,0.537415816,0.43,0.235,4.58893969034016e-06,4,PLEC
TNFSF10,3.20908088394277e-10,0.455650268,0.353,0.193,5.39157679311225e-06,4,TNFSF10
MYH9,3.63719933715754e-10,0.545930127,0.789,0.653,6.11085860635839e-06,4,MYH9
CAPNS11,4.99972313682702e-10,0.498476399,0.544,0.349,8.40003484218308e-06,4,CAPNS1
KRTCAP2,1.00898144868274e-09,0.389147286,0.752,0.617,1.69518973193187e-05,4,KRTCAP2
TUBA4A,1.2571218176846e-09,0.578040824,0.456,0.301,2.1120903658919e-05,4,TUBA4A
NDUFB10,1.31861071109193e-09,0.481608032,0.55,0.39,2.21539785570555e-05,4,NDUFB10
ARPC2,1.32507005296425e-09,0.481447498,0.88,0.76,2.22625019598523e-05,4,ARPC2
NDUFB2,1.43964489568204e-09,0.403861322,0.644,0.511,2.41874738923539e-05,4,NDUFB2
PSME1,1.80130161225464e-09,0.384239571,0.858,0.762,3.02636683874902e-05,4,PSME1
HCST,1.85253944645753e-09,0.416185024,0.798,0.662,3.11245152399329e-05,4,HCST
IL2RG,1.95257872722429e-09,0.409663229,0.906,0.787,3.28052751960953e-05,4,IL2RG
ATP6V0E1,2.77856695052288e-09,0.401585404,0.641,0.486,4.66827033357349e-05,4,ATP6V0E1
P4HB,3.13303159869603e-09,0.444593506,0.573,0.41,5.26380638896919e-05,4,P4HB
MYO1G,3.41759698445883e-09,0.513528511,0.53,0.32,5.74190469358928e-05,4,MYO1G
MIF1,4.23915857180945e-09,0.296836449,0.92,0.844,7.12221031649706e-05,4,MIF
CD2,4.35630967351316e-09,0.517318916,0.707,0.53,7.31903588246947e-05,4,CD2
ELOB,4.51715187405745e-09,0.420083239,0.778,0.651,7.58926686360392e-05,4,ELOB
SH3BP5,4.79545319000929e-09,0.499474885,0.527,0.354,8.05684090453461e-05,4,SH3BP5
MGST3,4.85235030443057e-09,0.453663784,0.407,0.277,8.15243374647381e-05,4,MGST3
SEC11C,6.22148279518767e-09,0.461113133,0.399,0.245,0.000104527,4,SEC11C
CDK2AP2,6.32037624750556e-09,0.480480472,0.419,0.253,0.000106189,4,CDK2AP2
SSBP41,8.88228080598576e-09,0.532625151,0.467,0.291,0.000149231,4,SSBP4
HMGB1,9.42572882149584e-09,0.459587735,0.863,0.778,0.000158362,4,HMGB1
ARHGDIA,1.17694864736526e-08,0.381538021,0.692,0.522,0.000197739,4,ARHGDIA
COX7A2,1.57241004841309e-08,0.366661478,0.689,0.566,0.000264181,4,COX7A2
CCDC1671,1.59214990003007e-08,0.495030137,0.427,0.254,0.000267497,4,CCDC167
REEP5,2.02152905558146e-08,0.421498909,0.396,0.217,0.000339637,4,REEP5
TBCB,2.51229050609399e-08,0.497424855,0.527,0.371,0.00042209,4,TBCB
PSMA7,2.64646570087814e-08,0.410837504,0.709,0.567,0.000444633,4,PSMA7
SH3BP1,2.68203190568757e-08,0.484574657,0.45,0.274,0.000450608,4,SH3BP1
MFSD10,2.69941772221781e-08,0.452633239,0.365,0.213,0.000453529,4,MFSD10
TMEM173,3.04117397395092e-08,0.498370643,0.453,0.278,0.000510948,4,TMEM173
ATP5MF,3.16031859796291e-08,0.391543977,0.553,0.407,0.000530965,4,ATP5MF
UQCR11,3.39295966137674e-08,0.297573772,0.806,0.702,0.000570051,4,UQCR11
TPM3,4.5998532751948e-08,0.416036045,0.843,0.784,0.000772821,4,TPM3
YWHAB,5.18263170241149e-08,0.427164898,0.863,0.75,0.000870734,4,YWHAB
TWF2,5.27640317584598e-08,0.43059455,0.427,0.28,0.000886488,4,TWF2
ITGB7,5.72171954852073e-08,0.464461548,0.53,0.354,0.000961306,4,ITGB7
C1orf1621,1.18015964069198e-07,0.313782667,0.396,0.304,0.001982786,4,C1orf162
CALM2,1.44409963358829e-07,0.306999574,0.695,0.539,0.002426232,4,CALM2
EID1,1.73208871988825e-07,0.367370662,0.652,0.492,0.002910082,4,EID1
SF3B2,2.0054563267458e-07,0.295993537,0.701,0.552,0.003369367,4,SF3B2
CTSB,2.07693035187341e-07,0.420863291,0.462,0.311,0.003489451,4,CTSB
GNG5,2.14769914510952e-07,0.437591795,0.53,0.365,0.003608349,4,GNG5
PTP4A2,2.25461691096692e-07,0.334375473,0.718,0.56,0.003787982,4,PTP4A2
GNB2,2.47530918441397e-07,0.42491015,0.61,0.471,0.004158767,4,GNB2
NUDT5,3.08444891808074e-07,0.35029812,0.271,0.134,0.005182183,4,NUDT5
DBI,3.46552577542922e-07,0.446386546,0.501,0.341,0.00582243,4,DBI
SIT1,3.47833919368542e-07,0.442127835,0.425,0.256,0.005843958,4,SIT1
VAMP8,3.667926443855e-07,0.348342623,0.593,0.448,0.006162483,4,VAMP8
MRPL34,4.10102447533206e-07,0.336935641,0.39,0.264,0.006890131,4,MRPL34
NDUFA1,4.44620708047209e-07,0.326090923,0.661,0.531,0.007470073,4,NDUFA1
APRT,4.90853050586936e-07,0.256671948,0.821,0.727,0.008246822,4,APRT
BATF,6.11499053791114e-07,0.36342697,0.279,0.143,0.010273796,4,BATF
TNF2,6.32483269002174e-07,0.568478247,0.413,0.251,0.010626351,4,TNF
PRDX5,7.46947517404082e-07,0.320855295,0.496,0.366,0.012549465,4,PRDX5
UBXN11,8.44257354079505e-07,0.390062289,0.259,0.135,0.014184368,4,UBXN11
OPTN,8.77296078204965e-07,0.444511435,0.538,0.365,0.014739451,4,OPTN
GSTP1,8.77597307782907e-07,0.331461884,0.473,0.364,0.014744512,4,GSTP1
NDUFC2,9.17891416894831e-07,0.360683344,0.504,0.359,0.015421494,4,NDUFC2
RPN1,9.35904272484426e-07,0.437162148,0.481,0.329,0.015724128,4,RPN1
WDR83OS,1.04429750276515e-06,0.373257657,0.558,0.437,0.017545242,4,WDR83OS
SP140,1.12654339310719e-06,0.343268907,0.299,0.174,0.018927056,4,SP140
TSR3,1.27652340086784e-06,0.385372735,0.325,0.214,0.02144687,4,TSR3
CAPZB,1.41307623118292e-06,0.411264396,0.792,0.682,0.023741094,4,CAPZB
ESYT1,1.59931806260933e-06,0.263788523,0.359,0.23,0.026870143,4,ESYT1
COX5A,1.83216258638768e-06,0.415531635,0.541,0.42,0.030782164,4,COX5A
VASP,2.06726992866257e-06,0.410442556,0.339,0.201,0.034732202,4,VASP
CAP1,2.15736547611643e-06,0.456974892,0.667,0.525,0.036245897,4,CAP1
SF3B5,2.29542668209874e-06,0.330717282,0.567,0.45,0.038565464,4,SF3B5
NDUFA13,2.38194359316679e-06,0.353536968,0.735,0.636,0.040019034,4,NDUFA13
GUK1,2.89961737553368e-06,0.358228037,0.701,0.577,0.048716472,4,GUK1
FBXW5,2.91805342423781e-06,0.403568975,0.464,0.313,0.049026216,4,FBXW5
FOXP3,2.06691469393456e-102,1.935846105,0.459,0.018,3.47262337727946e-98,5,FOXP3
IKZF2,1.32176167620498e-69,1.254698638,0.367,0.019,2.22069179219199e-65,5,IKZF2
IL321,2.10175889262798e-66,1.358385233,0.985,0.897,3.53116511550427e-62,5,IL32
HLA-DRB11,1.26575244632687e-51,1.728194401,0.538,0.083,2.12659068507378e-47,5,HLA-DRB1
TIGIT,2.70145181587283e-51,1.32892065,0.422,0.064,4.53870919584794e-47,5,TIGIT
IL2RA,5.2651241897163e-47,1.250378708,0.379,0.068,8.84593515114236e-43,5,IL2RA
GBP5,6.55817121835185e-47,1.40709148,0.575,0.194,1.10183834639529e-42,5,GBP5
CYTOR1,6.74801126684675e-43,1.373076209,0.517,0.12,1.13373337294292e-38,5,CYTOR
CTLA4,2.76423509689588e-40,1.313400425,0.388,0.066,4.64419138629476e-36,5,CTLA4
DUSP4,1.30224856573024e-38,1.248652067,0.327,0.036,2.18790781528337e-34,5,DUSP4
TMSB101,2.52885872721161e-37,0.519893784,1,0.983,4.24873554758823e-33,5,TMSB10
S100A42,1.2495108293809e-34,0.949760154,0.979,0.817,2.09930314444285e-30,5,S100A4
RTKN2,1.86951104389587e-34,1.14657731,0.254,0.035,3.14096550484944e-30,5,RTKN2
TMSB4X1,2.48045871567332e-34,0.462534255,0.997,0.983,4.16741868820274e-30,5,TMSB4X
TTN,3.49866899567827e-34,1.530705675,0.401,0.102,5.87811377963906e-30,5,TTN
STAM,6.24967516403401e-32,1.046914101,0.361,0.081,1.05000792430935e-27,5,STAM
CD741,5.2225179234022e-31,1.272130381,0.878,0.757,8.77435236310804e-27,5,CD74
HLA-A1,1.71045718507174e-27,0.638102075,0.985,0.986,2.87373911663904e-23,5,HLA-A
EZR,1.28092023380139e-25,1.009641183,0.728,0.462,2.15207408480971e-21,5,EZR
ISG20,1.79522199108187e-25,0.841900841,0.636,0.478,3.01615246721664e-21,5,ISG20
NCF4,4.16715850373993e-25,0.901759461,0.333,0.081,7.00124300213346e-21,5,NCF4
ARHGDIB,8.71970645019999e-24,0.621202949,0.924,0.896,1.4649978806981e-19,5,ARHGDIB
HLA-DPB11,3.46227063974719e-23,1.102745963,0.554,0.245,5.81696090183926e-19,5,HLA-DPB1
FCMR1,3.7158807888361e-23,0.775419368,0.651,0.496,6.24305131332352e-19,5,FCMR
IL10RA1,5.78149528831123e-23,0.958957231,0.682,0.452,9.71349023389171e-19,5,IL10RA
F5,1.34686884063568e-22,0.930701995,0.251,0.049,2.26287433915201e-18,5,F5
B2M1,4.90594821512076e-21,0.41926039,1,0.996,8.2424835962244e-17,5,B2M
LGALS31,9.66142321772251e-21,1.067478893,0.339,0.086,1.62321571480956e-16,5,LGALS3
S100A102,7.1469093165919e-20,0.904652702,0.899,0.781,1.2007522342806e-15,5,S100A10
SHMT2,4.03699592032816e-19,0.715148163,0.315,0.147,6.78255684574335e-15,5,SHMT2
HLA-DPA11,7.47094382133442e-18,1.054634401,0.486,0.193,1.2551932714224e-13,5,HLA-DPA1
LSP11,7.95034522698089e-18,0.776096322,0.844,0.738,1.33573750158506e-13,5,LSP1
USP151,6.64184669547991e-17,0.7607093,0.636,0.472,1.11589666330758e-12,5,USP15
SH3BGRL32,9.94825164158282e-17,0.670696774,0.969,0.918,1.67140575830233e-12,5,SH3BGRL3
DOK21,1.00321727578752e-16,0.883981552,0.465,0.235,1.68550534505062e-12,5,DOK2
SKAP1,1.51913132837197e-16,0.701765683,0.621,0.483,2.55229254479774e-12,5,SKAP1
PFN11,1.71452512272263e-16,0.608658357,0.963,0.949,2.88057365868629e-12,5,PFN1
PTMA,2.54589946196876e-16,0.385910642,0.991,0.98,4.27736568605372e-12,5,PTMA
OAZ1,3.99523083169929e-16,0.589491606,0.85,0.814,6.71238732033797e-12,5,OAZ1
BIRC3,1.2575973713703e-15,0.744014384,0.514,0.317,2.11288934363925e-11,5,BIRC3
ACTB1,1.90623525363844e-15,0.527204856,1,0.99,3.20266584963794e-11,5,ACTB
CCR4,7.81113093412285e-15,0.812006776,0.281,0.077,1.31234810824198e-10,5,CCR4
CARD16,8.75854762537623e-15,0.772646748,0.443,0.249,1.47152358653946e-10,5,CARD16
MT2A1,9.31569387168872e-15,0.803296934,0.492,0.304,1.56512972738242e-10,5,MT2A
NIBAN1,3.68262372543741e-14,0.878165647,0.321,0.106,6.18717612110738e-10,5,NIBAN1
CST71,5.60781348583828e-14,0.848961571,0.343,0.114,9.42168743755689e-10,5,CST7
EPB41,1.5598334319516e-13,0.663936207,0.602,0.485,2.62067614902188e-09,5,EPB41
IL2RB,1.63571612862236e-13,0.630715118,0.281,0.092,2.74816666769843e-09,5,IL2RB
LGALS11,4.10852714055291e-13,0.642072245,0.532,0.285,6.90273644884294e-09,5,LGALS1
ANXA21,1.17253044534421e-12,0.969816907,0.532,0.269,1.96996840122281e-08,5,ANXA2
TTC39C,2.36704846870446e-12,0.694571219,0.602,0.44,3.97687813227036e-08,5,TTC39C
S100A61,6.20163377448054e-12,0.519207367,0.951,0.879,1.04193649045047e-07,5,S100A6
GLCCI1,6.61074004556857e-12,0.658362938,0.321,0.131,1.11067043505598e-07,5,GLCCI1
CD27,1.15244442648788e-11,0.515648303,0.575,0.482,1.93622188094228e-07,5,CD27
GLRX,1.155769808237e-11,0.622039654,0.349,0.197,1.94180885481898e-07,5,GLRX
SELL1,1.2720404921501e-10,0.437216149,0.682,0.587,2.13715523086139e-06,5,SELL
CD521,1.29307273190096e-10,0.573236033,0.93,0.889,2.17249149686681e-06,5,CD52
OCIAD2,1.49163373990302e-10,0.441617921,0.486,0.395,2.50609384641107e-06,5,OCIAD2
GBP2,2.55327053241888e-10,0.710145718,0.388,0.229,4.28974982151696e-06,5,GBP2
RAD21,2.57780806805889e-10,0.592798889,0.578,0.437,4.33097533514574e-06,5,RAD21
SELPLG,2.77866615203772e-10,0.590625682,0.645,0.544,4.66843700203857e-06,5,SELPLG
S1PR4,3.88368996029724e-10,0.679860389,0.505,0.381,6.5249875022954e-06,5,S1PR4
SAT11,8.14955205470001e-10,0.875870423,0.602,0.428,1.36920624071015e-05,5,SAT1
PRDX11,9.98288210473872e-10,0.636318275,0.514,0.351,1.67722402241715e-05,5,PRDX1
TBC1D4,1.11468621530418e-09,0.642431126,0.266,0.117,1.87278431033255e-05,5,TBC1D4
SMCHD11,1.53182551725759e-09,0.745492944,0.713,0.608,2.57362005154448e-05,5,SMCHD1
HCST1,2.39451649425948e-09,0.532839854,0.737,0.669,4.02302716200534e-05,5,HCST
TNFRSF1B1,2.42258381846453e-09,0.78681201,0.394,0.212,4.07018307340225e-05,5,TNFRSF1B
TENT5C,5.17417890569037e-09,0.703889678,0.33,0.13,8.6931379794504e-05,5,TENT5C
MAN1A2,5.41831305830916e-09,0.65143755,0.303,0.167,9.10330776926522e-05,5,MAN1A2
TLE5,5.93774720614624e-09,0.434753723,0.936,0.927,9.97600908104629e-05,5,TLE5
CCM2,6.6811001168733e-09,0.625031146,0.416,0.275,0.000112249,5,CCM2
CLIC11,1.32406045307102e-08,0.714053502,0.673,0.539,0.000222455,5,CLIC1
PET100,1.42712735784926e-08,0.493451442,0.376,0.315,0.000239772,5,PET100
CASK,1.60870367058831e-08,0.711968615,0.346,0.166,0.000270278,5,CASK
MAD1L1,3.35463707077571e-08,0.511513817,0.388,0.278,0.000563613,5,MAD1L1
GAPDH1,5.69731297956473e-08,0.477166616,0.917,0.919,0.000957206,5,GAPDH
PPIA,6.84854294057669e-08,0.28412064,0.896,0.89,0.001150624,5,PPIA
YWHAB1,7.53720718475018e-08,0.53139606,0.81,0.756,0.001266326,5,YWHAB
SRP141,7.79089372685793e-08,0.390875549,0.795,0.767,0.001308948,5,SRP14
COX6B1,9.98185311145211e-08,0.356207689,0.734,0.699,0.001677051,5,COX6B1
HCLS1,1.06037908872387e-07,0.493512668,0.716,0.647,0.001781543,5,HCLS1
PTRHD1,1.30023291920785e-07,0.427608873,0.272,0.202,0.002184521,5,PTRHD1
YPEL3,1.61755706538561e-07,0.531590464,0.688,0.629,0.002717658,5,YPEL3
H3F3A,1.77759283619129e-07,0.516348262,0.859,0.832,0.002986534,5,H3F3A
FAM160B1,1.78507313384429e-07,0.537117936,0.251,0.095,0.002999101,5,FAM160B1
CTSA,1.86855320688014e-07,0.586247122,0.294,0.176,0.003139356,5,CTSA
ELOB1,2.26128225333738e-07,0.436483933,0.716,0.659,0.00379918,5,ELOB
RNF2141,5.19585089353315e-07,0.511521502,0.284,0.163,0.008729549,5,RNF214
ALDOA,5.92822951658751e-07,0.347318909,0.502,0.474,0.009960018,5,ALDOA
LMNA1,6.3070846900507e-07,0.765052356,0.272,0.111,0.010596533,5,LMNA
PPM1G,6.64338024619894e-07,0.509876465,0.419,0.329,0.011161543,5,PPM1G
SIT11,9.46375673191385e-07,0.473050026,0.346,0.266,0.015900058,5,SIT1
CD3D1,1.18479216158156e-06,0.429575538,0.807,0.801,0.019905693,5,CD3D
ETS11,1.21770668633955e-06,0.471185131,0.829,0.801,0.02045869,5,ETS1
GMFG1,1.23843745916733e-06,0.40839648,0.734,0.712,0.020806988,5,GMFG
SPTAN11,1.30654134819044e-06,0.661052336,0.538,0.411,0.021951201,5,SPTAN1
ATP5F1E1,1.39746781674419e-06,0.278722349,0.92,0.899,0.023478857,5,ATP5F1E
CFL11,1.4531530739937e-06,0.356818521,0.939,0.914,0.024414425,5,CFL1
PSMB8,1.58561969442342e-06,0.449430237,0.581,0.522,0.026639996,5,PSMB8
VAMP81,1.85712003015107e-06,0.3709274,0.471,0.462,0.031201474,5,VAMP8
GTF3C6,2.11219155951251e-06,0.452300809,0.254,0.175,0.03548693,5,GTF3C6
RBM38,2.37083978403258e-06,0.428167167,0.413,0.35,0.039832479,5,RBM38
MT-CO1,2.4935188138924e-06,0.374814151,1,0.997,0.04189361,5,MT-CO1
HIST1H1E,7.77974116435804e-23,1.157465835,0.839,0.65,1.30707431302379e-18,6,HIST1H1E
IL7R1,2.22894282380698e-15,0.804963024,0.982,0.832,3.74484683827811e-11,6,IL7R
LINC02762,4.32064534829083e-15,0.790962814,0.312,0.065,7.25911624966342e-11,6,LINC02762
TNF3,1.28354565212959e-11,1.074714512,0.571,0.258,2.15648505014293e-07,6,TNF
AL138963.41,2.07788686641355e-10,0.771205789,0.732,0.551,3.4910577242614e-06,6,AL138963.4
HIST1H1C,1.11975168991599e-09,0.701249771,0.598,0.331,1.88129481422786e-05,6,HIST1H1C
HIST1H1D1,1.91990325362179e-08,0.655989384,0.723,0.496,0.000322563,6,HIST1H1D
NELL21,3.98542220592876e-08,0.482548004,0.429,0.204,0.000669591,6,NELL2
PRDM11,9.88836187274036e-08,0.61775378,0.42,0.172,0.001661344,6,PRDM1
ANXA12,1.28356109396435e-07,0.583322541,0.839,0.616,0.002156511,6,ANXA1
RPS6KA3,3.22048538419669e-07,0.666134259,0.464,0.217,0.005410737,6,RPS6KA3
C1orf1622,3.47601574613676e-07,0.418013905,0.527,0.306,0.005840054,6,C1orf162
SFPQ1,4.80309132024004e-07,0.602532342,0.812,0.575,0.008069674,6,SFPQ
GCSAM,6.13842999526285e-07,0.429997761,0.25,0.09,0.010313176,6,GCSAM
