Supplementary Data 9. Gene expression in each cluster within cells expressing CD4,,,,,,,
gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
BACH2,2.91611336365899e-22,0.563040953,0.257,0.112,4.89936206228348e-18,1,BACH2
IL6ST,8.96699766555038e-22,0.624106689,0.423,0.284,1.50654527778912e-17,1,IL6ST
PCED1B,1.28534385775896e-21,0.51219539,0.403,0.248,2.15950621542082e-17,1,PCED1B
LINC00861,2.82493264735137e-21,0.505658742,0.639,0.538,4.74616934081504e-17,1,LINC00861
AP3M2,6.82291883583688e-20,0.551215783,0.368,0.236,1.14631859360895e-15,1,AP3M2
CHRM3-AS2,7.87445043971172e-20,0.54597163,0.344,0.187,1.32298641837597e-15,1,CHRM3-AS2
CD7,1.67676142137344e-19,0.375867306,0.729,0.6,2.81712686404951e-15,1,CD7
RIPOR2,3.30384413253823e-19,0.485983681,0.71,0.618,5.55078852707748e-15,1,RIPOR2
SARAF,4.0645289864225e-19,0.322944511,0.913,0.91,6.82881515008845e-15,1,SARAF
USP10,9.2862502345045e-19,0.520147474,0.391,0.268,1.5601829018991e-14,1,USP10
TGFBR2,4.57301230443889e-18,0.598319234,0.433,0.304,7.68311797268779e-14,1,TGFBR2
OXNAD1,9.25325887210418e-18,0.47297005,0.517,0.389,1.55464002310222e-13,1,OXNAD1
ATP1A1,1.03025683220614e-17,0.503282489,0.573,0.451,1.73093450378953e-13,1,ATP1A1
ACTN1,2.30302915488109e-17,0.509326689,0.298,0.165,3.86931928311571e-13,1,ACTN1
TRABD2A,4.12319630344942e-17,0.438005447,0.441,0.317,6.92738210942537e-13,1,TRABD2A
MLLT3,6.70849259473726e-17,0.513986736,0.328,0.199,1.12709384084181e-12,1,MLLT3
PRMT2,9.84769914895798e-17,0.535194468,0.586,0.523,1.65451193401643e-12,1,PRMT2
RAPGEF6,2.87512978173587e-16,0.528388696,0.386,0.253,4.83050554629444e-12,1,RAPGEF6
ITGA6,4.94824376178324e-16,0.535011238,0.359,0.23,8.31354434417202e-12,1,ITGA6
PRKCA,7.99278360305094e-16,0.571930466,0.308,0.187,1.34286757314859e-11,1,PRKCA
PDE3B,1.05008590235028e-15,0.597925871,0.382,0.255,1.76424932453871e-11,1,PDE3B
CDK6,1.90193688507935e-15,0.618723285,0.317,0.197,3.19544416062181e-11,1,CDK6
TMEM123,5.97998914934368e-15,0.400185835,0.686,0.636,1.00469797698123e-10,1,TMEM123
NDFIP1,1.14491322442652e-14,0.434314566,0.653,0.567,1.923568708359e-10,1,NDFIP1
LNPEP,2.0279639583733e-14,0.65203941,0.394,0.29,3.40718224646299e-10,1,LNPEP
NFKBIZ,3.00642276833797e-14,0.476614673,0.466,0.35,5.05109089308462e-10,1,NFKBIZ
PIK3IP1,3.9524838005089e-13,0.368983302,0.633,0.547,6.640568033235e-09,1,PIK3IP1
IKZF1,6.85950022696891e-13,0.450096328,0.621,0.572,1.15246463313305e-08,1,IKZF1
GCC2,1.19912592861425e-12,0.461422403,0.493,0.401,2.0146514726648e-08,1,GCC2
ADAM10,1.41754775598131e-12,0.611123016,0.439,0.326,2.3816219848242e-08,1,ADAM10
ETS1,2.30793707808e-12,0.301814852,0.817,0.8,3.8775650848822e-08,1,ETS1
CCNL1,2.54186464929932e-12,0.497238209,0.654,0.566,4.27058679728779e-08,1,CCNL1
CHD1,2.97670023659187e-12,0.433384763,0.359,0.289,5.00115406749801e-08,1,CHD1
ABLIM1,3.36840620493287e-12,0.477053543,0.483,0.381,5.65925926490772e-08,1,ABLIM1
SRSF11,3.53430431027973e-12,0.538539962,0.642,0.551,5.93798467170097e-08,1,SRSF11
FCMR,2.88872746559361e-11,0.307161416,0.58,0.494,4.85335101494382e-07,1,FCMR
MDFIC,4.90434942940074e-11,0.425607373,0.448,0.36,8.23979747633618e-07,1,MDFIC
PRKY,6.33692261546783e-11,0.463950448,0.272,0.184,1.06466636862475e-06,1,PRKY
PLAC8,1.37731947429326e-10,0.341012959,0.325,0.22,2.31403444876011e-06,1,PLAC8
CYLD,1.62428293994966e-10,0.35746426,0.568,0.501,2.72895776740943e-06,1,CYLD
STT3B,4.68046564895922e-10,0.446847271,0.385,0.296,7.86365033681639e-06,1,STT3B
SLC40A1,5.81918036428076e-10,0.331084015,0.266,0.168,9.77680493002811e-06,1,SLC40A1
TAB2,7.08085432388554e-10,0.34701725,0.382,0.299,1.18965433495601e-05,1,TAB2
LINC01550,1.07562153387374e-09,0.352134159,0.272,0.198,1.80715173906126e-05,1,LINC01550
MAML2,1.21175659832706e-09,0.469937326,0.377,0.279,2.03587226084929e-05,1,MAML2
ADD3,1.32112260579296e-09,0.366602291,0.595,0.528,2.21961808999275e-05,1,ADD3
DOCK10,1.73512029611665e-09,0.481030836,0.389,0.29,2.91517560950559e-05,1,DOCK10
MGAT4A,5.04391771065461e-09,0.413395739,0.481,0.402,8.4742861456708e-05,1,MGAT4A
