Supplementary Data 2A. Differential gene expression in CD8A+ T cells at pre-treatment vs 4 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FGFBP2,4.26780818584749e-05,0.098832258,0.746,0.725,0.717034453
AC044849.1,4.26877629399628e-05,0.293641188,0.122,0.062,0.717197105
S100A11,4.33467686030121e-05,-0.301674207,0.454,0.557,0.728269059
HSPA5,4.43131474990941e-05,0.247039098,0.707,0.644,0.744505191
CALR,5.04191636831438e-05,0.197516512,0.738,0.731,0.847092369
SSBP1,5.05721717249158e-05,-0.210029424,0.318,0.422,0.849663057
SERTAD1,5.62551809412842e-05,0.285349211,0.254,0.173,0.945143295
UCP2,5.7586844824892e-05,-0.325666745,0.581,0.666,0.96751658
ODC1,6.66722196041549e-05,0.273744435,0.391,0.297,1
AC011603.2,6.92860927758312e-05,0.161566248,0.062,0.022,1
IGLV2-14,7.29472298190099e-05,-0.267069295,0.112,0.191,1
LINC00861,8.01049017909833e-05,-0.276511916,0.454,0.555,1
FTH1,8.19538985289922e-05,0.17448015,0.961,0.969,1
HIST1H4C,8.65574735273362e-05,0.296101361,0.41,0.356,1
S100A4,9.14909124189856e-05,0.043535007,0.954,0.985,1
TUBB4B,9.88981967049066e-05,0.296080561,0.316,0.244,1
KLRD1,0.00010479,-0.217334547,0.686,0.707,1
Z93241.1,0.000107486,0.158977539,0.073,0.028,1
CNBP,0.000109982,-0.211292744,0.715,0.763,1
CKS2,0.000112629,0.163125266,0.052,0.018,1
CDKN1B,0.00012159,-0.259908532,0.331,0.431,1
RRP12,0.000121939,0.183137403,0.068,0.028,1
BLOC1S1,0.000122518,0.226810294,0.51,0.412,1
HLA-B,0.000138101,0.058434855,0.997,1,1
RHOB,0.000141994,0.259628911,0.176,0.111,1
TRAF3IP3,0.000143858,-0.245033773,0.564,0.662,1
SDHD,0.000149797,-0.165986395,0.2,0.289,1
EAPP,0.000153958,-0.253599571,0.217,0.308,1
GIMAP4,0.000154537,-0.249719126,0.466,0.568,1
ZNF683,0.00015801,-0.323767226,0.163,0.256,1
HIST1H3A,0.000162989,0.153932422,0.059,0.02,1
CD3D,0.000163552,0.074023982,0.858,0.886,1
TUBB2A,0.000173752,0.274156982,0.161,0.107,1
CTSW,0.000184899,0.124910869,0.919,0.907,1
B2M,0.00019135,-0.094128136,1,1,1
SSBP2,0.000198898,-0.171374448,0.023,0.063,1
FLT3LG,0.000206393,-0.224132253,0.29,0.358,1
MCUB,0.000212094,-0.233869524,0.213,0.291,1
FCGR3A,0.00021879,0.074270706,0.433,0.373,1
BRD2,0.000220058,0.278333127,0.487,0.421,1
AOAH,0.000225875,-0.28193678,0.334,0.442,1
HSPA1B,0.000238096,0.356639578,0.08,0.047,1
TCF7,0.000241372,-0.124498248,0.187,0.241,1
CYB561,0.000268924,-0.169580882,0.05,0.1,1
GIMAP6,0.000286948,-0.244892184,0.09,0.155,1
BTBD10,0.00029079,-0.105799243,0.028,0.064,1
AC245014.3,0.00029089,0.166781673,0.077,0.031,1
FRAT2,0.000297154,-0.215274997,0.047,0.1,1
HLA-C,0.000302042,0.052599498,0.993,0.998,1
ZNF880,0.0003101,-0.15414785,0.039,0.076,1
CLIP4,0.000312353,-0.191255378,0.078,0.129,1
CSTF3,0.000313776,-0.142314676,0.018,0.055,1
RCAN3,0.00031668,-0.151299917,0.039,0.076,1
MOB2,0.000331217,-0.236795728,0.194,0.264,1
PSMD3,0.000331945,-0.223854234,0.116,0.176,1
