Supplementary Data 2D. Differential gene expression in CD8A+ T cells at 12  vs 24 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RPS12,3.99751118966603e-47,0.119503458,0.999,0.999,6.7162185497579e-43
ATP5MF,8.14861335313482e-47,-0.063486113,0.311,0.463,1.36904852946018e-42
NDUFB7,8.61891946043144e-47,0.248912441,0.457,0.513,1.44806465854709e-42
S100A4,1.0368683913672e-46,0.172742569,0.977,0.97,1.74204258433603e-42
HDAC1,2.71324887766008e-46,-0.36062127,0.188,0.416,4.5585294393567e-42
PSMB6,5.67348707910602e-46,-0.058210767,0.24,0.388,9.53202564160603e-42
EIF3E,1.18870120760331e-45,-0.216310765,0.317,0.532,1.99713689889433e-41
CBX4,1.19935766206675e-45,-0.531618995,0.075,0.279,2.01504080803835e-41
MDH1,1.5839097700326e-45,-0.310231525,0.137,0.322,2.66112680463178e-41
CYC1,1.73233297537876e-45,-0.108927087,0.201,0.349,2.91049263193385e-41
PSMA2,2.65180096571123e-45,-0.174354788,0.199,0.367,4.45529080249144e-41
NDUFA13,2.79338513606004e-45,0.129610508,0.535,0.654,4.69316636709447e-41
SNRPC,4.35961385681966e-45,0.068207983,0.172,0.24,7.32458724084272e-41
ATP5MPL,4.44269653543829e-45,0.107301893,0.292,0.385,7.46417444918987e-41
NAXE,4.60770265086433e-45,0.072910721,0.211,0.292,7.74140122371716e-41
TALDO1,6.2975001098377e-45,-0.133061681,0.191,0.34,1.05804299345383e-40
ARL8A,6.55549765699566e-45,-0.352108122,0.095,0.281,1.10138916135184e-40
LTB,1.00330591850513e-44,-0.377484718,0.098,0.166,1.68565427368047e-40
RAB22A,1.24564771791701e-44,0.006525012,0.14,0.218,2.09281273087237e-40
CSNK1G2,2.13607394350423e-44,-0.484841345,0.133,0.373,3.58881783248146e-40
TUFM,3.33904702672477e-44,-0.034582882,0.35,0.51,5.60993290960028e-40
PSMB3,5.39933863634784e-44,-0.101430436,0.254,0.417,9.071428842928e-40
PRDX5,8.03665655500388e-44,0.085531987,0.299,0.405,1.3502386678062e-39
CDV3,1.28435055286375e-43,-0.394535146,0.225,0.462,2.15783736386639e-39
EMC4,1.29832048828872e-43,-0.128890674,0.183,0.325,2.18130825237387e-39
SH3BGRL3,1.49254645403263e-43,0.064073996,0.984,0.985,2.50762729742022e-39
NDUFB10,1.64882576955209e-43,-0.008428321,0.358,0.515,2.77019217542446e-39
BPTF,2.18880156952859e-43,-0.394963886,0.252,0.509,3.67740551696498e-39
SELENOT,2.45589835667924e-43,-0.158235196,0.277,0.452,4.12615482905678e-39
CD99,2.82106516496819e-43,0.151113531,0.878,0.91,4.73967158366306e-39
PYURF,2.93629643576321e-43,0.013227066,0.266,0.382,4.93327164172578e-39
SDF2L1,2.99820760873642e-43,0.252543611,0.231,0.246,5.03728860343807e-39
GZMB,3.44625627931601e-43,-0.011502349,0.773,0.796,5.79005517487883e-39
ISCU,3.56062347462107e-43,-0.135649907,0.306,0.489,5.98220349971085e-39
COPE,3.57055920973655e-43,-0.006091356,0.379,0.522,5.99889652827837e-39
TMEM59,4.21488706237967e-43,-0.086398736,0.348,0.523,7.08143175350408e-39
PURA,6.10865546987032e-43,-0.509426545,0.104,0.317,1.02631520549291e-38
BRK1,8.08250141381803e-43,-0.178630527,0.335,0.551,1.35794106253557e-38
SPSB3,8.17044557623964e-43,-0.301898193,0.309,0.543,1.37271656126402e-38
ILF2,8.72508094795754e-43,-0.294853505,0.156,0.344,1.46590085006635e-38
THRAP3,1.19771382137574e-42,-0.190543268,0.258,0.456,2.01227899129337e-38
RAN,1.37808303803005e-42,-0.354224706,0.357,0.623,2.3153173121943e-38
HIKESHI,1.4913918310699e-42,-0.088913737,0.109,0.202,2.50568741538053e-38
COPS9,1.77773502806421e-42,0.199159647,0.329,0.377,2.98677262065068e-38
MIEN1,1.83848046685662e-42,0.041768813,0.258,0.359,3.08883103236581e-38
TBCB,1.87556024108746e-42,-0.053769134,0.333,0.491,3.15112876105104e-38
HNRNPL,2.4342521890653e-42,-0.516995119,0.317,0.611,4.08978710284861e-38
DNAJA2,3.53912224498264e-42,-0.257875295,0.138,0.309,5.94607928379534e-38
HNRNPD,3.59101930191484e-42,-0.344977266,0.255,0.496,6.03327152914712e-38
BTG1,3.76641893796143e-42,-0.428725859,0.81,0.935,6.327960457669e-38
SSNA1,4.25319526684408e-42,-0.013362537,0.264,0.383,7.14579336782474e-38
E2F4,7.16449904986675e-42,-0.203946185,0.156,0.317,1.20370748536811e-37
TMED9,7.76283747186942e-42,0.035191899,0.307,0.424,1.30423432364878e-37
EMD,1.2887920206324e-41,-0.127339108,0.221,0.369,2.1652994738645e-37
FLI1,1.3360053693134e-41,-0.264536376,0.179,0.36,2.24462262098345e-37
MKNK2,1.56039908559595e-41,-0.453204107,0.186,0.436,2.62162650370976e-37
DDOST,1.81530549812563e-41,0.032101352,0.414,0.542,3.04989476740087e-37
RPS19BP1,1.90943959995642e-41,0.111675419,0.233,0.301,3.20804947188679e-37
TSC22D4,1.96415613800528e-41,-0.158296227,0.254,0.433,3.29997872746266e-37
SLC25A39,2.07756702542312e-41,0.057859632,0.149,0.22,3.49052035941338e-37
RAP1A,2.19870880519666e-41,-0.346266664,0.185,0.411,3.69405066361091e-37
C18orf32,2.28001467030093e-41,0.088046836,0.191,0.26,3.83065264757259e-37
AURKAIP1,4.64242654148772e-41,0.030944792,0.259,0.375,7.79974083235352e-37
XRCC6,5.07428254465352e-41,-0.285952852,0.288,0.52,8.52530210327238e-37
MYDGF,5.18707418332656e-41,0.144000356,0.254,0.305,8.71480333540696e-37
GPS2,5.35597785806236e-41,-0.070875768,0.323,0.492,8.99857839933057e-37
RNF7,5.36961830631379e-41,-0.165432704,0.222,0.388,9.0214957164378e-37
CD164,5.78142662483441e-41,-0.132486775,0.232,0.386,9.7133748723843e-37
RNPEPL1,6.80352562533721e-41,-0.277584151,0.281,0.511,1.14306034031291e-36
PIN1,6.84535749661997e-41,-0.053552669,0.213,0.328,1.15008851300712e-36
PPP2CA,7.69404552946323e-41,-0.175672243,0.178,0.333,1.29267658940512e-36
ALYREF,1.09784587013925e-40,-0.480261518,0.113,0.335,1.84449084642096e-36
GNG2,1.14030652826816e-40,0.128172844,0.447,0.537,1.91582899814333e-36
ATP6AP1,1.3041620842893e-40,-0.056337715,0.165,0.267,2.19112271781445e-36
IFI27L2,1.85052226209409e-40,0.185821481,0.223,0.259,3.10906245254428e-36
RBBP7,2.17774511862302e-40,-0.194226955,0.14,0.285,3.65882957379853e-36
BOD1L1,2.31422518243739e-40,-0.275668397,0.178,0.364,3.88812972901306e-36
